#{"t_start": 1784594983.3855948, "env_id": "None"}
r,l,t
-246.0,10,0.002297
-129.0,10,0.002642
-71.0,10,0.002989
-94.0,10,0.003327
-155.0,10,0.003962
-99.0,10,0.004281
-77.0,10,0.004626
-98.0,10,0.004943
-166.0,10,0.005531
-184.0,10,0.005852
-66.0,10,0.006186
-17.0,10,0.006551
-143.0,10,0.007139
-124.0,10,0.007456
-154.0,10,0.007793
-91.0,10,0.008118
-120.0,10,0.008755
-60.0,10,0.009094
6.0,10,0.00944
-36.0,10,0.00977
-56.0,10,0.010394
-127.0,10,0.010715
-169.0,10,0.011051
-142.0,10,0.011373
-142.0,10,0.01195
-57.0,10,0.01227
-198.0,10,0.01261
-241.0,10,0.012927
-105.0,10,0.013487
-34.0,10,0.013805
-131.0,10,0.01414
-111.0,10,0.014463
-173.0,10,0.015036
-184.0,10,0.015356
-91.0,10,0.01569
35.0,10,0.016006
-288.0,10,0.016587
-235.0,10,0.016907
-184.0,10,0.017257
-144.0,10,0.017595
-159.0,10,0.018152
-98.0,10,0.018493
-164.0,10,0.018849
-191.0,10,0.019204
-184.0,10,0.019885
44.0,10,0.020215
-113.0,10,0.020561
-87.0,10,0.020882
-156.0,10,0.021542
-151.0,10,0.02187
3.0,10,0.022284
-303.0,10,0.02261
-112.0,10,0.023205
24.0,10,0.023527
-206.0,10,0.023865
-143.0,10,0.024218
-176.0,10,0.024806
-178.0,10,0.025127
-146.0,10,0.025498
-96.0,10,0.025819
-131.0,10,0.026376
7.0,10,0.026697
-117.0,10,0.027034
-192.0,10,0.027354
40.0,10,0.027919
-166.0,10,0.028239
-86.0,10,0.028577
-161.0,10,0.028894
-88.0,10,0.029448
-47.0,10,0.029767
-49.0,10,0.030101
-169.0,10,0.030418
-235.0,10,0.030988
-117.0,10,0.031308
-144.0,10,0.031648
-42.0,10,0.03198
-96.0,10,0.03257
-222.0,10,0.032893
-87.0,10,0.03323
-113.0,10,0.033549
-30.0,10,0.034131
16.0,10,0.034451
-91.0,10,0.034792
-14.0,10,0.035137
-172.0,10,0.035711
-266.0,10,0.036029
-15.0,10,0.036363
-221.0,10,0.036678
-162.0,10,0.037283
-146.0,10,0.037609
-61.0,10,0.037967
-180.0,10,0.038294
-37.0,10,0.038889
-87.0,10,0.039208
-31.0,10,0.039544
-226.0,10,0.03986
-130.0,10,0.040439
-74.0,10,0.040756
2.0,10,0.041093
-154.0,10,0.041412
-131.0,10,0.043457
-93.0,10,0.044978
-73.0,10,0.047055
-36.0,10,0.048495
-94.0,10,0.05108
-127.0,10,0.052529
-264.0,10,0.054561
-193.0,10,0.056028
-39.0,10,0.058513
-87.0,10,0.060105
-54.0,10,0.062042
-102.0,10,0.063673
-10.0,10,0.066036
-87.0,10,0.067534
-183.0,10,0.069534
-108.0,10,0.070955
-168.0,10,0.073193
-116.0,10,0.074683
-159.0,10,0.076708
13.0,10,0.078348
12.0,10,0.080764
44.0,10,0.082358
-10.0,10,0.084274
-7.0,10,0.085639
-194.0,10,0.088006
-11.0,10,0.089639
-76.0,10,0.091675
-72.0,10,0.093207
-159.0,10,0.095672
6.0,10,0.097083
-132.0,10,0.099104
-136.0,10,0.100621
-34.0,10,0.102951
-91.0,10,0.104384
-13.0,10,0.106423
-129.0,10,0.107961
-3.0,10,0.110369
-120.0,10,0.111781
-86.0,10,0.113739
16.0,10,0.115521
-43.0,10,0.118139
1.0,10,0.119726
10.0,10,0.121802
-82.0,10,0.123321
-120.0,10,0.125839
-74.0,10,0.127287
-40.0,10,0.129421
-73.0,10,0.131092
-119.0,10,0.133438
-96.0,10,0.135083
-215.0,10,0.13713
16.0,10,0.138825
-10.0,10,0.141413
-75.0,10,0.142907
-98.0,10,0.145098
-32.0,10,0.146695
-81.0,10,0.148997
-109.0,10,0.150515
-125.0,10,0.152532
-38.0,10,0.15411
-56.0,10,0.156581
-114.0,10,0.158175
-88.0,10,0.16024
-33.0,10,0.161834
-60.0,10,0.164268
68.0,10,0.165988
-241.0,10,0.167913
-29.0,10,0.169329
-196.0,10,0.171739
-4.0,10,0.173228
-35.0,10,0.175296
-26.0,10,0.177005
-65.0,10,0.179349
-72.0,10,0.181072
-78.0,10,0.183258
-136.0,10,0.184726
-99.0,10,0.187015
-49.0,10,0.18844
-54.0,10,0.190467
-90.0,10,0.19199
-45.0,10,0.194523
-77.0,10,0.196062
-135.0,10,0.198067
-112.0,10,0.199495
9.0,10,0.201917
-36.0,10,0.203372
-35.0,10,0.205383
-107.0,10,0.206836
-121.0,10,0.209153
26.0,10,0.210616
-54.0,10,0.21282
-114.0,10,0.214369
-136.0,10,0.216788
-57.0,10,0.218422
-18.0,10,0.220642
-1.0,10,0.22225
-85.0,10,0.224688
51.0,10,0.226289
-11.0,10,0.228429
-111.0,10,0.230002
-100.0,10,0.232423
-127.0,10,0.23401
-49.0,10,0.236177
-44.0,10,0.23764
-32.0,10,0.240176
53.0,10,0.241751
89.0,10,0.243905
-54.0,10,0.245436
11.0,10,0.247782
-4.0,10,0.249423
17.0,10,0.251635
97.0,10,0.253344
19.0,10,0.255839
51.0,10,0.257486
-40.0,10,0.25955
-62.0,10,0.261083
-59.0,10,0.263465
107.0,10,0.265195
-24.0,10,0.267395
-183.0,10,0.268876
-157.0,10,0.271278
66.0,10,0.272895
-56.0,10,0.274918
4.0,10,0.276346
74.0,10,0.278995
-54.0,10,0.280662
-14.0,10,0.282799
-96.0,10,0.284395
21.0,10,0.286911
-110.0,10,0.28845
4.0,10,0.290526
-20.0,10,0.292091
-30.0,10,0.294416
6.0,10,0.295932
-73.0,10,0.297982
-35.0,10,0.299609
-99.0,10,0.302078
-7.0,10,0.303778
-48.0,10,0.30585
-102.0,10,0.30737
-66.0,10,0.309822
-12.0,10,0.311502
-17.0,10,0.31363
51.0,10,0.315251
-196.0,10,0.31758
-59.0,10,0.319189
23.0,10,0.321309
-32.0,10,0.323025
56.0,10,0.325521
32.0,10,0.327207
-21.0,10,0.32927
16.0,10,0.330972
-7.0,10,0.333508
37.0,10,0.335106
-32.0,10,0.337218
9.0,10,0.338787
24.0,10,0.341378
-5.0,10,0.34307
-37.0,10,0.345135
-66.0,10,0.346821
69.0,10,0.349396
-128.0,10,0.350971
57.0,10,0.353126
-46.0,10,0.354733
65.0,10,0.357128
21.0,10,0.358896
-58.0,10,0.360847
53.0,10,0.362549
-21.0,10,0.365028
61.0,10,0.366786
-9.0,10,0.368942
-9.0,10,0.370603
82.0,10,0.373145
-49.0,10,0.374746
44.0,10,0.376902
24.0,10,0.378598
-21.0,10,0.381115
54.0,10,0.382793
-9.0,10,0.384906
-18.0,10,0.38658
-17.0,10,0.389157
86.0,10,0.39081
-87.0,10,0.392879
-260.0,10,0.394447
-7.0,10,0.396986
-24.0,10,0.398676
-4.0,10,0.400887
42.0,10,0.402559
84.0,10,0.405147
61.0,10,0.406844
-2.0,10,0.408987
-94.0,10,0.410592
-28.0,10,0.412976
-62.0,10,0.41465
67.0,10,0.416867
-25.0,10,0.418518
-70.0,10,0.421069
-118.0,10,0.422804
28.0,10,0.42497
20.0,10,0.426588
-28.0,10,0.429068
-136.0,10,0.430726
-4.0,10,0.432767
7.0,10,0.434426
18.0,10,0.436953
-36.0,10,0.438523
-9.0,10,0.44076
1.0,10,0.442442
35.0,10,0.445025
26.0,10,0.446578
19.0,10,0.448702
117.0,10,0.450443
74.0,10,0.452963
-42.0,10,0.454525
67.0,10,0.456688
9.0,10,0.458445
29.0,10,0.461255
14.0,10,0.462995
-49.0,10,0.465286
85.0,10,0.467185
-2.0,10,0.470242
26.0,10,0.472131
9.0,10,0.474465
11.0,10,0.476263
17.0,10,0.479396
119.0,10,0.481334
21.0,10,0.483644
59.0,10,0.485371
119.0,10,0.488209
-134.0,10,0.490116
-4.0,10,0.49313
-64.0,10,0.495467
11.0,10,0.498597
-69.0,10,0.502233
-16.0,10,0.505328
16.0,10,0.51223
-65.0,10,0.518483
-30.0,10,0.528372
73.0,10,0.540393
117.0,10,0.550907
9.0,10,0.563414
16.0,10,0.566249
-3.0,10,0.574063
-39.0,10,0.592308
13.0,10,0.605988
59.0,10,0.611438
-86.0,10,0.619161
-96.0,10,0.645298
8.0,10,0.669993
41.0,10,0.700309
45.0,10,0.742947
-38.0,10,0.745612
94.0,10,0.749403
14.0,10,0.751592
-97.0,10,0.754669
-67.0,10,0.758341
71.0,10,0.762714
56.0,10,0.764688
68.0,10,0.779803
-15.0,10,0.785616
-38.0,10,0.79159
23.0,10,0.795053
8.0,10,0.797611
82.0,10,0.799599
42.0,10,0.80261
11.0,10,0.804519
14.0,10,0.807536
96.0,10,0.809455
49.0,10,0.813516
91.0,10,0.815806
37.0,10,0.819144
-74.0,10,0.822741
-13.0,10,0.827214
7.0,10,0.829741
63.0,10,0.832224
-73.0,10,0.83442
25.0,10,0.841272
-73.0,10,0.843299
-12.0,10,0.847048
79.0,10,0.849113
-13.0,10,0.852427
-2.0,10,0.854321
-43.0,10,0.856659
-60.0,10,0.858475
21.0,10,0.861967
59.0,10,0.864219
-141.0,10,0.866599
-9.0,10,0.868534
72.0,10,0.87157
-101.0,10,0.873417
149.0,10,0.876008
87.0,10,0.87832
70.0,10,0.881273
26.0,10,0.883209
22.0,10,0.886482
56.0,10,0.889142
-94.0,10,0.892503
100.0,10,0.894626
19.0,10,0.898149
75.0,10,0.900269
36.0,10,0.904344
64.0,10,0.906172
27.0,10,0.908614
32.0,10,0.910433
119.0,10,0.914809
104.0,10,0.916923
40.0,10,0.919399
66.0,10,0.921269
24.0,10,0.924136
-35.0,10,0.925892
64.0,10,0.928603
42.0,10,0.930722
-9.0,10,0.933668
108.0,10,0.935608
3.0,10,0.93788
59.0,10,0.939857
14.0,10,0.942821
-7.0,10,0.945039
49.0,10,0.947605
154.0,10,0.949525
1.0,10,0.952441
38.0,10,0.954363
-16.0,10,0.956602
35.0,10,0.958401
124.0,10,0.961437
2.0,10,0.963718
12.0,10,0.966258
112.0,10,0.968173
-72.0,10,0.971083
21.0,10,0.972876
76.0,10,0.975246
38.0,10,0.977044
28.0,10,0.980489
-94.0,10,0.982162
126.0,10,0.984632
72.0,10,0.986575
61.0,10,0.989538
147.0,10,0.991411
89.0,10,0.993841
82.0,10,0.996159
147.0,10,0.999266
61.0,10,1.001158
91.0,10,1.003564
74.0,10,1.005356
104.0,10,1.008177
-51.0,10,1.009965
89.0,10,1.012944
104.0,10,1.014925
-16.0,10,1.017783
66.0,10,1.019756
126.0,10,1.022252
58.0,10,1.024161
31.0,10,1.02689
73.0,10,1.029317
-21.0,10,1.031828
77.0,10,1.033724
80.0,10,1.036644
117.0,10,1.038573
63.0,10,1.041095
70.0,10,1.042996
-30.0,10,1.047017
51.0,10,1.049137
81.0,10,1.051581
24.0,10,1.053442
71.0,10,1.056465
