#{"t_start": 1784595117.212429, "env_id": "None"}
r,l,t
-21.0,10,0.003324
-111.0,10,0.004577
-208.0,10,0.005848
-171.0,10,0.00709
-53.0,10,0.008339
-166.0,10,0.009577
-106.0,10,0.010798
-84.0,10,0.012033
-136.0,10,0.013305
-142.0,10,0.014527
-113.0,10,0.01573
-170.0,10,0.016942
-122.0,10,0.01824
-138.0,10,0.01946
-35.0,10,0.020683
-208.0,10,0.021925
-94.0,10,0.023157
-125.0,10,0.024377
-173.0,10,0.025614
-87.0,10,0.02684
-23.0,10,0.028044
-161.0,10,0.02925
-170.0,10,0.030469
-82.0,10,0.031678
-37.0,10,0.032881
-166.0,10,0.034088
-106.0,10,0.03532
-138.0,10,0.036524
-68.0,10,0.03774
-141.0,10,0.03895
-104.0,10,0.040152
-94.0,10,0.041365
-105.0,10,0.042572
-199.0,10,0.043773
-31.0,10,0.044973
-62.0,10,0.046194
-162.0,10,0.047396
-60.0,10,0.048606
-30.0,10,0.04982
-141.0,10,0.051042
-64.0,10,0.052251
-143.0,10,0.053465
-99.0,10,0.054686
-179.0,10,0.055893
-63.0,10,0.057117
-77.0,10,0.058336
-173.0,10,0.059543
-61.0,10,0.060746
-89.0,10,0.061955
-146.0,10,0.063158
-174.0,10,0.064361
-150.0,10,0.06556
-119.0,10,0.066765
-166.0,10,0.067969
-151.0,10,0.069171
-125.0,10,0.070378
-172.0,10,0.071585
-216.0,10,0.072791
-149.0,10,0.073991
-128.0,10,0.075192
-86.0,10,0.076395
-152.0,10,0.077597
-69.0,10,0.078801
-143.0,10,0.08
-27.0,10,0.08125
21.0,10,0.082491
-221.0,10,0.083696
-26.0,10,0.084936
-145.0,10,0.08614
-204.0,10,0.087359
-44.0,10,0.088558
-123.0,10,0.089756
-145.0,10,0.09097
-71.0,10,0.092193
-87.0,10,0.093393
-112.0,10,0.094591
-173.0,10,0.095853
-308.0,10,0.097098
-11.0,10,0.098302
-16.0,10,0.099509
-58.0,10,0.100746
-138.0,10,0.101961
-90.0,10,0.103167
-117.0,10,0.10439
-128.0,10,0.105604
-40.0,10,0.106825
-130.0,10,0.108034
-91.0,10,0.109249
-196.0,10,0.110466
-48.0,10,0.111687
-106.0,10,0.112931
-89.0,10,0.114138
13.0,10,0.11534
-72.0,10,0.116541
-100.0,10,0.117736
-122.0,10,0.118938
-114.0,10,0.12017
-103.0,10,0.12137
-215.0,10,0.12258
