#{"t_start": 1784594995.5668669, "env_id": "None"}
r,l,t
-168.0,10,0.002737
-31.0,10,0.003082
-77.0,10,0.003422
-28.0,10,0.003737
-196.0,10,0.004459
-129.0,10,0.004792
-88.0,10,0.005155
-229.0,10,0.005479
-71.0,10,0.006184
26.0,10,0.006521
-71.0,10,0.006869
-33.0,10,0.007198
-194.0,10,0.007846
-171.0,10,0.008217
-88.0,10,0.008587
-201.0,10,0.008925
-101.0,10,0.009555
-159.0,10,0.009885
-78.0,10,0.010229
-152.0,10,0.010554
-164.0,10,0.011143
-180.0,10,0.01147
-12.0,10,0.011811
-87.0,10,0.012133
-88.0,10,0.012938
27.0,10,0.013286
-101.0,10,0.013642
-149.0,10,0.013973
-101.0,10,0.014666
8.0,10,0.015009
-51.0,10,0.015368
-60.0,10,0.015697
-45.0,10,0.01632
-63.0,10,0.016648
-172.0,10,0.016992
-92.0,10,0.017326
-110.0,10,0.017959
-200.0,10,0.0183
-74.0,10,0.018661
-131.0,10,0.018993
-79.0,10,0.019578
-228.0,10,0.019924
-47.0,10,0.020267
-70.0,10,0.020593
-83.0,10,0.021168
-149.0,10,0.021495
-128.0,10,0.021842
35.0,10,0.022183
-39.0,10,0.022767
-148.0,10,0.023108
-91.0,10,0.023559
-124.0,10,0.023902
-20.0,10,0.024489
-55.0,10,0.024819
-63.0,10,0.02516
-96.0,10,0.025498
-213.0,10,0.026078
-24.0,10,0.026422
-138.0,10,0.026768
-71.0,10,0.027091
-138.0,10,0.027694
-152.0,10,0.028115
-82.0,10,0.028566
-124.0,10,0.028916
-94.0,10,0.029551
-116.0,10,0.029948
-144.0,10,0.030324
-143.0,10,0.030668
-142.0,10,0.031275
-31.0,10,0.031606
-156.0,10,0.031949
-122.0,10,0.032276
-143.0,10,0.0329
-39.0,10,0.033241
-74.0,10,0.03366
-212.0,10,0.034027
-26.0,10,0.034711
-121.0,10,0.035064
-56.0,10,0.035435
-138.0,10,0.035768
-85.0,10,0.036398
-91.0,10,0.036738
-110.0,10,0.037083
-41.0,10,0.037413
-91.0,10,0.038024
-27.0,10,0.038354
-114.0,10,0.038697
-77.0,10,0.039039
-56.0,10,0.039614
-214.0,10,0.039942
-75.0,10,0.040284
-12.0,10,0.040622
-72.0,10,0.041191
-18.0,10,0.041521
-104.0,10,0.041864
-71.0,10,0.042202
-144.0,10,0.042785
-146.0,10,0.043114
-128.0,10,0.043459
-28.0,10,0.043784
9.0,10,0.046738
-44.0,10,0.048637
-143.0,10,0.050979
-74.0,10,0.053376
-8.0,10,0.055906
-213.0,10,0.0577
-77.0,10,0.059865
-123.0,10,0.062569
-98.0,10,0.065384
-184.0,10,0.067283
-28.0,10,0.069564
-26.0,10,0.071222
-196.0,10,0.073688
24.0,10,0.075246
-181.0,10,0.077269
84.0,10,0.078756
-161.0,10,0.081329
-175.0,10,0.082917
-146.0,10,0.085217
-165.0,10,0.086708
-136.0,10,0.089182
-24.0,10,0.090671
-61.0,10,0.092588
-106.0,10,0.094212
-141.0,10,0.096561
-168.0,10,0.098115
-151.0,10,0.100045
-21.0,10,0.101622
-59.0,10,0.104158
-51.0,10,0.105737
-62.0,10,0.107703
-122.0,10,0.109255
-63.0,10,0.111909
-98.0,10,0.11352
31.0,10,0.115666
-35.0,10,0.117372
-147.0,10,0.120025
-14.0,10,0.121584
-110.0,10,0.123703
-47.0,10,0.125293
-124.0,10,0.127635
-57.0,10,0.129185
-38.0,10,0.131264
-75.0,10,0.133274
25.0,10,0.136105
-126.0,10,0.137675
-87.0,10,0.139746
-32.0,10,0.141394
-12.0,10,0.143866
-214.0,10,0.145378
-41.0,10,0.147571
-71.0,10,0.149006
-90.0,10,0.151662
13.0,10,0.153293
-172.0,10,0.155442
-132.0,10,0.157064
4.0,10,0.15957
26.0,10,0.161242
-28.0,10,0.163416
-100.0,10,0.165032
-39.0,10,0.167632
-78.0,10,0.1692
-170.0,10,0.171405
-76.0,10,0.172884
-11.0,10,0.175461
-7.0,10,0.176993
-50.0,10,0.179065
32.0,10,0.180715
-72.0,10,0.183221
-69.0,10,0.184761
-2.0,10,0.186775
14.0,10,0.188382
-19.0,10,0.190968
7.0,10,0.192493
-172.0,10,0.194539
-6.0,10,0.196123
-46.0,10,0.199101
91.0,10,0.201045
-64.0,10,0.203251
-142.0,10,0.204902
-72.0,10,0.207535
-132.0,10,0.209128
-110.0,10,0.211283
-125.0,10,0.213
-77.0,10,0.215836
-9.0,10,0.21764
-56.0,10,0.21984
-58.0,10,0.221456
-95.0,10,0.224135
-37.0,10,0.225775
-211.0,10,0.227849
