#{"t_start": 1784595192.030111, "env_id": "None"}
r,l,t
-196.0,10,0.005953
-83.0,10,0.009093
-89.0,10,0.01202
-196.0,10,0.015007
-58.0,10,0.017946
-59.0,10,0.020776
-114.0,10,0.023663
-136.0,10,0.026589
-143.0,10,0.029438
-144.0,10,0.032283
-16.0,10,0.035066
-162.0,10,0.037881
-18.0,10,0.040741
-79.0,10,0.043543
-59.0,10,0.046367
-204.0,10,0.049189
-108.0,10,0.051993
-37.0,10,0.054767
-111.0,10,0.057554
-105.0,10,0.060339
-98.0,10,0.063103
-66.0,10,0.065947
31.0,10,0.068755
-55.0,10,0.071561
-14.0,10,0.074352
-39.0,10,0.077141
-7.0,10,0.080009
-85.0,10,0.082808
-95.0,10,0.085613
54.0,10,0.08841
-127.0,10,0.09124
-62.0,10,0.094043
-56.0,10,0.096843
-39.0,10,0.09967
-9.0,10,0.102462
29.0,10,0.105303
-49.0,10,0.108088
-61.0,10,0.110875
-107.0,10,0.11371
16.0,10,0.116605
-79.0,10,0.119375
-60.0,10,0.122125
-15.0,10,0.124902
-65.0,10,0.1277
-72.0,10,0.130473
-93.0,10,0.133238
-62.0,10,0.136035
-126.0,10,0.138836
-177.0,10,0.141619
-61.0,10,0.144363
-72.0,10,0.147948
-16.0,10,0.150843
-28.0,10,0.153631
-37.0,10,0.156472
-82.0,10,0.159271
10.0,10,0.162057
-90.0,10,0.164866
33.0,10,0.167603
-21.0,10,0.170375
-30.0,10,0.173164
-39.0,10,0.175927
-126.0,10,0.178694
3.0,10,0.181482
48.0,10,0.184242
-55.0,10,0.187001
-100.0,10,0.189758
-72.0,10,0.192521
-108.0,10,0.195314
-89.0,10,0.19811
-7.0,10,0.200925
-45.0,10,0.203715
21.0,10,0.206461
79.0,10,0.209255
-58.0,10,0.21208
15.0,10,0.214833
19.0,10,0.217623
-119.0,10,0.220422
-148.0,10,0.223233
-43.0,10,0.226009
-119.0,10,0.228757
-28.0,10,0.231553
-83.0,10,0.234305
12.0,10,0.237086
5.0,10,0.239819
-14.0,10,0.242605
-34.0,10,0.245389
1.0,10,0.248145
-89.0,10,0.25092
33.0,10,0.253663
-142.0,10,0.256427
-27.0,10,0.259177
-140.0,10,0.261886
-10.0,10,0.264691
-111.0,10,0.267436
18.0,10,0.270208
-171.0,10,0.272982
-5.0,10,0.275726
-149.0,10,0.278525
