#{"t_start": 1784595178.1537569, "env_id": "None"}
r,l,t
-63.0,10,0.003119
-109.0,10,0.004359
-83.0,10,0.005591
-138.0,10,0.006811
-59.0,10,0.008025
-136.0,10,0.009253
100.0,10,0.010492
-275.0,10,0.011702
-29.0,10,0.012908
-71.0,10,0.014132
-16.0,10,0.015353
-30.0,10,0.016574
-59.0,10,0.017776
-187.0,10,0.018977
-93.0,10,0.020178
-51.0,10,0.021371
-102.0,10,0.022584
-114.0,10,0.023797
-29.0,10,0.025002
-119.0,10,0.026197
-2.0,10,0.027393
-35.0,10,0.028588
-173.0,10,0.029787
-106.0,10,0.030989
-124.0,10,0.032188
-113.0,10,0.033382
-126.0,10,0.034586
-134.0,10,0.035785
-124.0,10,0.036988
-50.0,10,0.038194
-3.0,10,0.039395
-13.0,10,0.040593
-165.0,10,0.041878
-225.0,10,0.043174
-184.0,10,0.044466
-94.0,10,0.045753
-71.0,10,0.047032
-76.0,10,0.048316
-74.0,10,0.049599
-141.0,10,0.050879
-196.0,10,0.052164
-141.0,10,0.05345
-177.0,10,0.054736
-148.0,10,0.056017
-145.0,10,0.057292
-82.0,10,0.058565
-171.0,10,0.059848
-200.0,10,0.061129
-128.0,10,0.062413
-174.0,10,0.063695
-14.0,10,0.064971
-270.0,10,0.066257
-134.0,10,0.067527
-51.0,10,0.068826
-55.0,10,0.070119
-34.0,10,0.071408
-191.0,10,0.07267
86.0,10,0.073933
-61.0,10,0.075239
-207.0,10,0.076517
-220.0,10,0.077798
-176.0,10,0.079083
-49.0,10,0.08036
-178.0,10,0.081634
-74.0,10,0.082885
-139.0,10,0.084082
-108.0,10,0.085308
-263.0,10,0.086696
-111.0,10,0.088046
-152.0,10,0.089348
-20.0,10,0.090593
-199.0,10,0.091812
-144.0,10,0.093032
-140.0,10,0.094262
-139.0,10,0.095569
-151.0,10,0.096966
44.0,10,0.098243
-166.0,10,0.099457
-173.0,10,0.100689
-203.0,10,0.101964
-49.0,10,0.103237
-24.0,10,0.104452
-30.0,10,0.105664
-64.0,10,0.106919
-29.0,10,0.108128
-151.0,10,0.109379
6.0,10,0.110613
-23.0,10,0.111882
-124.0,10,0.113088
-85.0,10,0.114298
-84.0,10,0.115537
-174.0,10,0.116761
-136.0,10,0.118003
-101.0,10,0.119231
-97.0,10,0.120455
-57.0,10,0.121708
-104.0,10,0.122967
-98.0,10,0.124191
-107.0,10,0.12541
-149.0,10,0.12664
-219.0,10,0.127882
-71.0,10,0.12911
-126.0,10,0.130322
-96.0,10,0.131551
-47.0,10,0.132848
-121.0,10,0.134058
-82.0,10,0.135268
-44.0,10,0.136494
-112.0,10,0.137714
-236.0,10,0.138914
-101.0,10,0.140155
-180.0,10,0.141373
-64.0,10,0.142578
-163.0,10,0.143819
-92.0,10,0.145071
-128.0,10,0.146278
-12.0,10,0.147483
-109.0,10,0.148685
-63.0,10,0.149906
-45.0,10,0.151113
-172.0,10,0.152325
-64.0,10,0.153524
-26.0,10,0.154765
-63.0,10,0.156011
-51.0,10,0.157231
-103.0,10,0.158438
-136.0,10,0.159641
-24.0,10,0.160855
-84.0,10,0.162159
-141.0,10,0.163482
-154.0,10,0.164805
-124.0,10,0.166079
-166.0,10,0.167294
-92.0,10,0.168496
-146.0,10,0.169743
-64.0,10,0.170973
-148.0,10,0.172179
-31.0,10,0.173385
-23.0,10,0.174594
-129.0,10,0.175804
-124.0,10,0.177021
-132.0,10,0.178277
-103.0,10,0.179489
-89.0,10,0.180692
-74.0,10,0.181911
-178.0,10,0.183124
-104.0,10,0.184318
18.0,10,0.18554
-78.0,10,0.186753
-173.0,10,0.187957
-198.0,10,0.189235
-88.0,10,0.190448
-178.0,10,0.191652
-112.0,10,0.192871
-129.0,10,0.19409
-85.0,10,0.195335
-170.0,10,0.196554
-214.0,10,0.197784
-131.0,10,0.198983
-33.0,10,0.20018
-102.0,10,0.201388
-92.0,10,0.202645
-91.0,10,0.203852
-60.0,10,0.205064
-26.0,10,0.206261
-180.0,10,0.207463
-8.0,10,0.208673
-44.0,10,0.209873
-119.0,10,0.211083
-82.0,10,0.212304
-148.0,10,0.213513
-165.0,10,0.214711
-210.0,10,0.215907
-51.0,10,0.21711
-61.0,10,0.218326
-186.0,10,0.219532
10.0,10,0.220761
-213.0,10,0.222008
-174.0,10,0.223207
-96.0,10,0.224411
-164.0,10,0.225611
-104.0,10,0.226823
-142.0,10,0.228022
-74.0,10,0.229232
-92.0,10,0.230436
-61.0,10,0.23164
-53.0,10,0.232856
-136.0,10,0.234064
14.0,10,0.235284
-48.0,10,0.236502
-94.0,10,0.237703
-83.0,10,0.238915
-93.0,10,0.240124
-294.0,10,0.241327
-139.0,10,0.242531
-198.0,10,0.243732
-79.0,10,0.244926
-103.0,10,0.246126
-88.0,10,0.247327
-5.0,10,0.248524
-85.0,10,0.249726
-92.0,10,0.250931
-100.0,10,0.252134
16.0,10,0.253331
-89.0,10,0.254564
-128.0,10,0.255825
-158.0,10,0.257042
-23.0,10,0.258244
-7.0,10,0.259438
-146.0,10,0.260687
-61.0,10,0.261904
-199.0,10,0.263122
-163.0,10,0.264334
-29.0,10,0.265525
-177.0,10,0.266761
-231.0,10,0.267966
-109.0,10,0.269179
-49.0,10,0.270376
-131.0,10,0.271581
-106.0,10,0.272824
-27.0,10,0.274026
-76.0,10,0.275255
-116.0,10,0.276469
-368.0,10,0.277683
-224.0,10,0.278881
54.0,10,0.280095
-114.0,10,0.2813
-79.0,10,0.2825
21.0,10,0.283711
-96.0,10,0.284914
-176.0,10,0.286107
-92.0,10,0.287307
-79.0,10,0.288532
-163.0,10,0.289765
-130.0,10,0.290972
-62.0,10,0.292178
-181.0,10,0.293394
-51.0,10,0.294632
-98.0,10,0.295827
14.0,10,0.297035
-117.0,10,0.298256
-56.0,10,0.299475
-118.0,10,0.300701
-161.0,10,0.301928
-125.0,10,0.303165
-171.0,10,0.304362
-149.0,10,0.305561
-79.0,10,0.306762
-211.0,10,0.307965
14.0,10,0.309167
-213.0,10,0.310363
-96.0,10,0.31155
-89.0,10,0.312783
-195.0,10,0.313991
-149.0,10,0.315213
-27.0,10,0.316432
-72.0,10,0.317661
-152.0,10,0.318868
-124.0,10,0.320061
9.0,10,0.321261
-164.0,10,0.322492
-138.0,10,0.323718
-55.0,10,0.324935
-89.0,10,0.326133
-16.0,10,0.327337
-77.0,10,0.328536
-101.0,10,0.329741
-9.0,10,0.330939
-141.0,10,0.332133
-61.0,10,0.333326
-40.0,10,0.334539
-159.0,10,0.335761
-95.0,10,0.336999
-84.0,10,0.338187
69.0,10,0.339415
36.0,10,0.340611
-49.0,10,0.341806
-134.0,10,0.343024
-79.0,10,0.344237
-113.0,10,0.345433
-116.0,10,0.346636
-108.0,10,0.347851
-148.0,10,0.349058
-115.0,10,0.350253
-69.0,10,0.351462
-203.0,10,0.352668
-53.0,10,0.353864
-172.0,10,0.355097
-196.0,10,0.356292
-19.0,10,0.357493
-59.0,10,0.358693
-12.0,10,0.359908
-122.0,10,0.36111
-91.0,10,0.362305
-1.0,10,0.363497
-121.0,10,0.364698
-98.0,10,0.365914
-133.0,10,0.367116
-143.0,10,0.36832
-71.0,10,0.369532
-114.0,10,0.370732
-220.0,10,0.371927
-208.0,10,0.373134
-99.0,10,0.374329
