#{"t_start": 1784595028.5677938, "env_id": "None"}
r,l,t
-88.0,10,0.001913
-102.0,10,0.002246
-56.0,10,0.002617
-44.0,10,0.002948
-92.0,10,0.003584
-112.0,10,0.003913
-108.0,10,0.004257
-133.0,10,0.004578
-303.0,10,0.005254
-124.0,10,0.005584
-52.0,10,0.005924
-44.0,10,0.006264
-126.0,10,0.006968
-166.0,10,0.007294
26.0,10,0.007642
-79.0,10,0.007968
-94.0,10,0.008542
-110.0,10,0.008876
-231.0,10,0.009215
-178.0,10,0.009538
-60.0,10,0.01011
-149.0,10,0.010435
-155.0,10,0.010774
-59.0,10,0.0111
-160.0,10,0.011663
-44.0,10,0.011985
-148.0,10,0.012322
-130.0,10,0.012641
-219.0,10,0.013192
-80.0,10,0.013511
-154.0,10,0.013847
-40.0,10,0.014163
-92.0,10,0.014711
-224.0,10,0.01503
-104.0,10,0.015368
-109.0,10,0.015697
-15.0,10,0.016266
-141.0,10,0.016595
-84.0,10,0.016932
-103.0,10,0.017252
-88.0,10,0.017845
-16.0,10,0.018188
-101.0,10,0.018546
-171.0,10,0.018866
-132.0,10,0.019443
-72.0,10,0.019766
-171.0,10,0.020103
-198.0,10,0.02042
-19.0,10,0.02098
-69.0,10,0.021303
-110.0,10,0.021706
-73.0,10,0.022026
-128.0,10,0.0226
-36.0,10,0.022948
-83.0,10,0.023291
-179.0,10,0.023615
-182.0,10,0.024191
-31.0,10,0.024511
-52.0,10,0.02485
-101.0,10,0.025168
-231.0,10,0.025752
-111.0,10,0.026076
-40.0,10,0.026421
-244.0,10,0.026749
-81.0,10,0.027308
-156.0,10,0.027633
-101.0,10,0.027971
-224.0,10,0.02829
-91.0,10,0.028886
-249.0,10,0.029224
-98.0,10,0.029574
-1.0,10,0.029896
-216.0,10,0.030529
-89.0,10,0.030852
-149.0,10,0.0312
-125.0,10,0.031539
-211.0,10,0.032126
-112.0,10,0.03245
-86.0,10,0.032784
-69.0,10,0.033101
-160.0,10,0.033664
-65.0,10,0.033993
-134.0,10,0.034328
-147.0,10,0.034658
-111.0,10,0.035228
-135.0,10,0.035571
-215.0,10,0.03591
-111.0,10,0.03623
-240.0,10,0.036798
-128.0,10,0.037122
-110.0,10,0.037459
-71.0,10,0.037783
-143.0,10,0.038357
-101.0,10,0.038692
-258.0,10,0.039037
-166.0,10,0.039356
-41.0,10,0.039981
-159.0,10,0.040323
-157.0,10,0.040663
-14.0,10,0.040985
-11.0,10,0.043086
-1.0,10,0.044817
-168.0,10,0.046882
-115.0,10,0.048381
7.0,10,0.05077
-125.0,10,0.052258
-81.0,10,0.054355
-112.0,10,0.055766
-79.0,10,0.058138
-44.0,10,0.059631
-24.0,10,0.061632
-190.0,10,0.063084
-28.0,10,0.065419
-54.0,10,0.066967
-27.0,10,0.068896
-98.0,10,0.070405
-2.0,10,0.07279
-154.0,10,0.074231
-26.0,10,0.076245
-42.0,10,0.077844
-139.0,10,0.080181
-47.0,10,0.081636
-43.0,10,0.083633
20.0,10,0.085075
-49.0,10,0.087307
-200.0,10,0.088803
89.0,10,0.09079
-171.0,10,0.092304
-67.0,10,0.094629
-63.0,10,0.096039
-81.0,10,0.098008
-131.0,10,0.099516
-179.0,10,0.101968
-32.0,10,0.103625
-83.0,10,0.10564
-77.0,10,0.107093
-90.0,10,0.109441
-150.0,10,0.110878
-104.0,10,0.112947
-88.0,10,0.114521
-112.0,10,0.116778
-80.0,10,0.118235
-106.0,10,0.120411
-46.0,10,0.122005
-36.0,10,0.124316
-100.0,10,0.125845
-166.0,10,0.127813
-110.0,10,0.129271
-64.0,10,0.131547
-103.0,10,0.133139
-71.0,10,0.135255
-149.0,10,0.13677
3.0,10,0.13914
2.0,10,0.140654
-33.0,10,0.142803
-61.0,10,0.144257
-24.0,10,0.146669
-175.0,10,0.148185
-69.0,10,0.150186
-101.0,10,0.151627
-117.0,10,0.153931
-59.0,10,0.155461
-77.0,10,0.157463
-110.0,10,0.159001
-200.0,10,0.16144
-88.0,10,0.163079
-9.0,10,0.165144
-74.0,10,0.166605
-94.0,10,0.168956
-11.0,10,0.170489
-47.0,10,0.172533
-62.0,10,0.174061
-78.0,10,0.176501
-116.0,10,0.177967
-3.0,10,0.180075
-75.0,10,0.181568
-31.0,10,0.184061
-92.0,10,0.185729
46.0,10,0.18791
6.0,10,0.189422
-194.0,10,0.191652
-219.0,10,0.193119
-101.0,10,0.195081
-47.0,10,0.196655
-21.0,10,0.199009
-104.0,10,0.200463
-118.0,10,0.202544
-84.0,10,0.204058
-67.0,10,0.206573
-119.0,10,0.208103
-63.0,10,0.210101
-34.0,10,0.211613
46.0,10,0.214113
-70.0,10,0.215662
-208.0,10,0.217639
-111.0,10,0.219213
-54.0,10,0.221678
-138.0,10,0.223128
52.0,10,0.225387
-7.0,10,0.227024
-70.0,10,0.229543
-35.0,10,0.231171
-79.0,10,0.233268
-87.0,10,0.234995
-104.0,10,0.23739
-22.0,10,0.239047
-75.0,10,0.241114
-98.0,10,0.242642
-131.0,10,0.244935
-78.0,10,0.246506
-62.0,10,0.248571
-96.0,10,0.250177
13.0,10,0.252698
-71.0,10,0.254094
-101.0,10,0.256308
21.0,10,0.257737
-39.0,10,0.259971
-9.0,10,0.261546
-127.0,10,0.263625
-56.0,10,0.26507
-20.0,10,0.267564
-49.0,10,0.269123
-48.0,10,0.271428
-32.0,10,0.273018
-130.0,10,0.275517
-30.0,10,0.277144
-116.0,10,0.279229
-251.0,10,0.280727
-72.0,10,0.28303
-92.0,10,0.284514
76.0,10,0.286441
16.0,10,0.288164
-95.0,10,0.290652
-55.0,10,0.292179
-62.0,10,0.29421
-54.0,10,0.295663
-11.0,10,0.297947
66.0,10,0.299581
-99.0,10,0.3015
63.0,10,0.303209
33.0,10,0.305771
36.0,10,0.307422
-70.0,10,0.309522
-101.0,10,0.311193
-94.0,10,0.313661
-77.0,10,0.315324
-79.0,10,0.317425
-41.0,10,0.318967
-101.0,10,0.321186
21.0,10,0.322872
-31.0,10,0.325073
16.0,10,0.326628
-4.0,10,0.328959
18.0,10,0.330615
-27.0,10,0.332719
-79.0,10,0.334362
-54.0,10,0.336859
-80.0,10,0.338444
-88.0,10,0.340491
-37.0,10,0.342124
-12.0,10,0.344604
58.0,10,0.346353
9.0,10,0.348345
42.0,10,0.34988
-59.0,10,0.352341
-21.0,10,0.35387
-14.0,10,0.355873
112.0,10,0.357477
-64.0,10,0.359875
94.0,10,0.361601
-66.0,10,0.363656
29.0,10,0.365415
-43.0,10,0.367963
-54.0,10,0.369662
-86.0,10,0.371814
16.0,10,0.37346
-14.0,10,0.375929
-17.0,10,0.377646
91.0,10,0.379662
131.0,10,0.381522
-32.0,10,0.384065
-114.0,10,0.385557
-48.0,10,0.387507
69.0,10,0.389257
-17.0,10,0.391675
135.0,10,0.393337
-68.0,10,0.395293
9.0,10,0.39685
9.0,10,0.399355
-95.0,10,0.401096
69.0,10,0.40331
-29.0,10,0.404983
-2.0,10,0.407549
-46.0,10,0.409197
-20.0,10,0.411242
51.0,10,0.412975
73.0,10,0.415488
35.0,10,0.417312
-131.0,10,0.419439
16.0,10,0.421203
89.0,10,0.423907
39.0,10,0.42556
-122.0,10,0.42765
79.0,10,0.429313
10.0,10,0.431877
-166.0,10,0.433376
43.0,10,0.435566
-99.0,10,0.437246
-24.0,10,0.439919
-6.0,10,0.441646
-25.0,10,0.443854
-84.0,10,0.445462
-60.0,10,0.447917
-49.0,10,0.449752
49.0,10,0.45187
177.0,10,0.453644
23.0,10,0.456168
96.0,10,0.457801
16.0,10,0.459942
119.0,10,0.461708
-14.0,10,0.463984
46.0,10,0.465811
66.0,10,0.467998
91.0,10,0.469698
-25.0,10,0.472095
13.0,10,0.47376
-76.0,10,0.47591
11.0,10,0.477467
84.0,10,0.479961
-39.0,10,0.481599
38.0,10,0.48376
90.0,10,0.485477
75.0,10,0.488155
-40.0,10,0.489842
51.0,10,0.492083
103.0,10,0.49392
93.0,10,0.496313
142.0,10,0.4981
32.0,10,0.500218
64.0,10,0.501915
58.0,10,0.504405
33.0,10,0.506144
39.0,10,0.508399
-12.0,10,0.510119
-70.0,10,0.512621
38.0,10,0.514271
26.0,10,0.534703
9.0,10,0.536823
10.0,10,0.540151
1.0,10,0.54195
84.0,10,0.544491
72.0,10,0.5464
-3.0,10,0.549262
126.0,10,0.551131
87.0,10,0.553562
58.0,10,0.555473
-26.0,10,0.558288
-20.0,10,0.560114
177.0,10,0.562666
47.0,10,0.564504
8.0,10,0.567285
89.0,10,0.569139
81.0,10,0.571428
4.0,10,0.573036
-2.0,10,0.575906
7.0,10,0.577664
140.0,10,0.580169
149.0,10,0.582008
109.0,10,0.584793
-21.0,10,0.586548
124.0,10,0.588933
142.0,10,0.59068
-60.0,10,0.593452
-24.0,10,0.59519
116.0,10,0.597721
80.0,10,0.599544
53.0,10,0.602649
9.0,10,0.604443
98.0,10,0.606874
147.0,10,0.60875
-111.0,10,0.611403
21.0,10,0.61327
132.0,10,0.6156
86.0,10,0.617428
4.0,10,0.620024
131.0,10,0.621794
46.0,10,0.624067
5.0,10,0.625774
73.0,10,0.628491
142.0,10,0.630296
-16.0,10,0.632553
-107.0,10,0.634227
110.0,10,0.63715
110.0,10,0.639
46.0,10,0.641259
-27.0,10,0.643076
45.0,10,0.645743
54.0,10,0.647634
42.0,10,0.649986
126.0,10,0.651873
-3.0,10,0.654655
142.0,10,0.656477
71.0,10,0.658884
78.0,10,0.660795
19.0,10,0.663572
8.0,10,0.665289
119.0,10,0.667616
16.0,10,0.66926
40.0,10,0.672037
-42.0,10,0.673828
20.0,10,0.676302
-2.0,10,0.67819
66.0,10,0.68086
77.0,10,0.682715
119.0,10,0.685096
177.0,10,0.686915
87.0,10,0.689598
98.0,10,0.691443
131.0,10,0.693818
6.0,10,0.695558
10.0,10,0.698293
149.0,10,0.700184
74.0,10,0.702437
1.0,10,0.704134
132.0,10,0.70683
101.0,10,0.708661
68.0,10,0.710859
79.0,10,0.712728
75.0,10,0.715447
-21.0,10,0.717253
91.0,10,0.719551
5.0,10,0.72139
-58.0,10,0.723997
170.0,10,0.725927
119.0,10,0.72826
89.0,10,0.730053
-4.0,10,0.732685
149.0,10,0.734587
-7.0,10,0.736822
85.0,10,0.738728
61.0,10,0.741389
82.0,10,0.743225
130.0,10,0.745548
96.0,10,0.747426
149.0,10,0.750156
23.0,10,0.751889
102.0,10,0.754198
80.0,10,0.756005
108.0,10,0.758725
177.0,10,0.760628
73.0,10,0.762991
49.0,10,0.764809
102.0,10,0.767417
82.0,10,0.769159
75.0,10,0.771578
74.0,10,0.77334
89.0,10,0.776148
100.0,10,0.777938
39.0,10,0.780251
94.0,10,0.782136
117.0,10,0.784803
107.0,10,0.786611
131.0,10,0.788989
62.0,10,0.790739
61.0,10,0.793524
172.0,10,0.795403
65.0,10,0.79767
119.0,10,0.799536
52.0,10,0.802177
121.0,10,0.804071
42.0,10,0.806405
19.0,10,0.808257
170.0,10,0.810764
132.0,10,0.812626
154.0,10,0.814967
149.0,10,0.816834
73.0,10,0.819521
107.0,10,0.821349
149.0,10,0.823709
119.0,10,0.825531
131.0,10,0.828221
149.0,10,0.830152
79.0,10,0.832456
126.0,10,0.834349
147.0,10,0.836996
126.0,10,0.838819
101.0,10,0.841126
124.0,10,0.843015
149.0,10,0.845727
154.0,10,0.84765
147.0,10,0.850044
112.0,10,0.85182
77.0,10,0.854526
91.0,10,0.856454
154.0,10,0.858826
62.0,10,0.860639
103.0,10,0.863294
119.0,10,0.865174
48.0,10,0.867488
124.0,10,0.869381
94.0,10,0.872163
124.0,10,0.874021
131.0,10,0.876409
165.0,10,0.878237
103.0,10,0.88106
131.0,10,0.882936
70.0,10,0.885306
78.0,10,0.887197
131.0,10,0.889948
71.0,10,0.891835
72.0,10,0.894092
75.0,10,0.895926
140.0,10,0.898663
125.0,10,0.900477
177.0,10,0.902842
75.0,10,0.904727
119.0,10,0.907441
172.0,10,0.909273
101.0,10,0.911625
82.0,10,0.913502
32.0,10,0.91629
140.0,10,0.918181
147.0,10,0.920505
47.0,10,0.922361
119.0,10,0.925113
149.0,10,0.926987
114.0,10,0.929395
117.0,10,0.931272
94.0,10,0.933934
17.0,10,0.935754
119.0,10,0.938108
149.0,10,0.939968
126.0,10,0.942849
177.0,10,0.944731
155.0,10,0.94705
101.0,10,0.948912
154.0,10,0.951709
124.0,10,0.953557
154.0,10,0.955936
200.0,10,0.957844
131.0,10,0.960595
147.0,10,0.962486
172.0,10,0.964892
124.0,10,0.966765
93.0,10,0.969429
154.0,10,0.971322
-14.0,10,0.973551
147.0,10,0.975449
94.0,10,0.97823
147.0,10,0.98007
124.0,10,0.982508
131.0,10,0.984338
177.0,10,0.987062
124.0,10,0.988936
154.0,10,0.991339
170.0,10,0.99321
132.0,10,0.995883
200.0,10,0.997774
177.0,10,1.000169
154.0,10,1.001935
177.0,10,1.004666
131.0,10,1.006553
124.0,10,1.008941
101.0,10,1.010808
154.0,10,1.01357
154.0,10,1.015437
154.0,10,1.017755
170.0,10,1.019644
147.0,10,1.022408
200.0,10,1.024278
117.0,10,1.026616
94.0,10,1.028486
165.0,10,1.03123
104.0,10,1.033074
154.0,10,1.03543
177.0,10,1.037299
126.0,10,1.040134
177.0,10,1.042034
119.0,10,1.044324
108.0,10,1.046224
200.0,10,1.048913
131.0,10,1.050775
131.0,10,1.053045
53.0,10,1.054884
98.0,10,1.0576
126.0,10,1.059472
200.0,10,1.061868
154.0,10,1.063734
154.0,10,1.066435
117.0,10,1.068295
140.0,10,1.070692
97.0,10,1.072496
149.0,10,1.075181
149.0,10,1.07703
200.0,10,1.079335
131.0,10,1.081183
154.0,10,1.083895
144.0,10,1.085729
70.0,10,1.088026
124.0,10,1.089894
147.0,10,1.092785
149.0,10,1.094674
142.0,10,1.097051
124.0,10,1.09895
147.0,10,1.101672
96.0,10,1.10357
147.0,10,1.105914
154.0,10,1.107718
200.0,10,1.110393
170.0,10,1.112196
84.0,10,1.114491
124.0,10,1.116379
170.0,10,1.119033
147.0,10,1.120906
142.0,10,1.123296
177.0,10,1.125181
142.0,10,1.127834
79.0,10,1.129678
117.0,10,1.132043
124.0,10,1.133825
108.0,10,1.136562
41.0,10,1.138403
124.0,10,1.140717
121.0,10,1.142538
172.0,10,1.145213
147.0,10,1.147081
64.0,10,1.149418
140.0,10,1.151295
147.0,10,1.1541
154.0,10,1.156
177.0,10,1.15833
149.0,10,1.160209
126.0,10,1.162982
96.0,10,1.164805
65.0,10,1.167088
131.0,10,1.168966
119.0,10,1.171639
154.0,10,1.173526
119.0,10,1.175795
75.0,10,1.177692
126.0,10,1.18039
147.0,10,1.182278
200.0,10,1.184659
200.0,10,1.18654
147.0,10,1.189279
131.0,10,1.191172
172.0,10,1.193588
177.0,10,1.195407
170.0,10,1.198064
177.0,10,1.199974
94.0,10,1.202351
107.0,10,1.204177
172.0,10,1.20688
170.0,10,1.208766
108.0,10,1.211156
170.0,10,1.21305
73.0,10,1.215771
177.0,10,1.217614
154.0,10,1.21993
73.0,10,1.221718
154.0,10,1.224451
101.0,10,1.22628
131.0,10,1.228635
103.0,10,1.230517
124.0,10,1.233179
154.0,10,1.235067
154.0,10,1.237473
155.0,10,1.239312
127.0,10,1.241969
112.0,10,1.2438
200.0,10,1.246156
200.0,10,1.248002
130.0,10,1.250666
