#{"t_start": 1784595039.3349812, "env_id": "None"}
r,l,t
-33.0,10,0.001837
-118.0,10,0.002166
-99.0,10,0.002502
-87.0,10,0.002822
-44.0,10,0.00345
-139.0,10,0.003772
-208.0,10,0.004105
-114.0,10,0.00442
-148.0,10,0.004991
-86.0,10,0.005316
-86.0,10,0.005657
-78.0,10,0.005976
-174.0,10,0.006595
-119.0,10,0.006927
-99.0,10,0.007269
-214.0,10,0.007591
-161.0,10,0.008188
-63.0,10,0.008511
-43.0,10,0.008848
-126.0,10,0.009166
-122.0,10,0.009841
23.0,10,0.010174
-104.0,10,0.010506
-76.0,10,0.010832
-60.0,10,0.011404
-129.0,10,0.011725
-56.0,10,0.012064
-57.0,10,0.012385
-154.0,10,0.012978
-203.0,10,0.013305
-164.0,10,0.013647
-164.0,10,0.013969
-131.0,10,0.014582
-89.0,10,0.014905
-205.0,10,0.015243
-92.0,10,0.015574
-111.0,10,0.01617
-162.0,10,0.016495
-149.0,10,0.016833
-236.0,10,0.017156
-145.0,10,0.017767
-133.0,10,0.018112
-122.0,10,0.018465
-81.0,10,0.018783
-140.0,10,0.019345
-79.0,10,0.019668
-137.0,10,0.020003
-102.0,10,0.020328
-181.0,10,0.020942
-207.0,10,0.021265
1.0,10,0.021685
-119.0,10,0.02202
-155.0,10,0.022625
89.0,10,0.022948
-127.0,10,0.023289
4.0,10,0.023608
-89.0,10,0.024176
-22.0,10,0.024499
-134.0,10,0.024838
-227.0,10,0.025179
-61.0,10,0.025751
-182.0,10,0.026074
-203.0,10,0.026409
-26.0,10,0.026738
-116.0,10,0.027366
-164.0,10,0.02769
-191.0,10,0.02803
-146.0,10,0.028351
-54.0,10,0.028924
-158.0,10,0.029248
-180.0,10,0.029588
-251.0,10,0.029909
-154.0,10,0.030494
-136.0,10,0.030815
44.0,10,0.031151
-96.0,10,0.031466
-1.0,10,0.032074
-14.0,10,0.03241
-77.0,10,0.032749
-16.0,10,0.033073
-117.0,10,0.033676
-90.0,10,0.034
-9.0,10,0.034338
-42.0,10,0.034653
-36.0,10,0.035254
-12.0,10,0.035585
-2.0,10,0.035925
15.0,10,0.036243
-163.0,10,0.036826
-54.0,10,0.037151
17.0,10,0.037489
-90.0,10,0.037823
-171.0,10,0.038403
-67.0,10,0.038724
-228.0,10,0.03906
-105.0,10,0.039384
-97.0,10,0.039959
-58.0,10,0.040282
-171.0,10,0.040621
-127.0,10,0.040943
-26.0,10,0.042875
-29.0,10,0.0445
28.0,10,0.046464
-159.0,10,0.047921
-96.0,10,0.050326
-88.0,10,0.051725
-14.0,10,0.053761
-94.0,10,0.055195
-138.0,10,0.05771
-54.0,10,0.059191
-228.0,10,0.061065
-67.0,10,0.062554
18.0,10,0.06485
-225.0,10,0.066308
-132.0,10,0.06817
-86.0,10,0.069607
-169.0,10,0.071981
20.0,10,0.073409
-149.0,10,0.075343
13.0,10,0.076709
-129.0,10,0.079004
-225.0,10,0.080381
-99.0,10,0.082341
-88.0,10,0.083771
-82.0,10,0.086156
-109.0,10,0.087612
-116.0,10,0.089557
-189.0,10,0.091146
119.0,10,0.093457
-1.0,10,0.094884
-101.0,10,0.096794
-54.0,10,0.098354
-266.0,10,0.100729
-214.0,10,0.102162
-151.0,10,0.104105
-117.0,10,0.105689
-38.0,10,0.108088
-183.0,10,0.109503
-231.0,10,0.111368
-48.0,10,0.112708
116.0,10,0.115008
-67.0,10,0.116405
-38.0,10,0.118502
-69.0,10,0.119842
-22.0,10,0.122016
-116.0,10,0.123468
-274.0,10,0.125332
-35.0,10,0.126719
-31.0,10,0.129069
-34.0,10,0.130519
-77.0,10,0.132663
-18.0,10,0.134021
-84.0,10,0.136221
-124.0,10,0.13764
-116.0,10,0.139599
-28.0,10,0.141086
-103.0,10,0.143367
-64.0,10,0.144786
-111.0,10,0.146618
-114.0,10,0.147985
-82.0,10,0.150397
-82.0,10,0.151793
-121.0,10,0.153702
102.0,10,0.155121
26.0,10,0.157354
-54.0,10,0.158822
-148.0,10,0.160736
-96.0,10,0.162222
-96.0,10,0.16451
-145.0,10,0.165875
-124.0,10,0.167777
-91.0,10,0.169149
-75.0,10,0.171571
-206.0,10,0.173068
-117.0,10,0.175094
-124.0,10,0.176516
38.0,10,0.178803
-116.0,10,0.180201
94.0,10,0.182267
4.0,10,0.183832
-86.0,10,0.18603
-29.0,10,0.187424
-85.0,10,0.189549
-67.0,10,0.191114
-77.0,10,0.193481
-162.0,10,0.194904
-173.0,10,0.196824
-36.0,10,0.198351
-106.0,10,0.200564
-58.0,10,0.202027
-76.0,10,0.204139
-106.0,10,0.205662
-87.0,10,0.20801
21.0,10,0.209531
-74.0,10,0.211405
-87.0,10,0.212915
-39.0,10,0.215301
-51.0,10,0.21675
-4.0,10,0.218708
-288.0,10,0.220063
-32.0,10,0.222447
-152.0,10,0.223867
-149.0,10,0.225813
-194.0,10,0.227225
-154.0,10,0.229404
-114.0,10,0.230898
-94.0,10,0.232845
-114.0,10,0.234271
-137.0,10,0.23666
-74.0,10,0.238089
-203.0,10,0.240049
-148.0,10,0.24151
-94.0,10,0.243754
-42.0,10,0.245165
9.0,10,0.247148
-24.0,10,0.248639
-38.0,10,0.250983
-18.0,10,0.252635
13.0,10,0.254703
-122.0,10,0.256283
-14.0,10,0.258597
-32.0,10,0.260092
-221.0,10,0.26211
-23.0,10,0.263489
19.0,10,0.265753
-41.0,10,0.26731
-132.0,10,0.26925
-6.0,10,0.270666
-89.0,10,0.273031
-37.0,10,0.274571
-45.0,10,0.276502
-116.0,10,0.277863
26.0,10,0.280291
-37.0,10,0.281864
-112.0,10,0.283661
-109.0,10,0.28503
-176.0,10,0.2874
-60.0,10,0.288799
-69.0,10,0.290803
-53.0,10,0.292401
-32.0,10,0.294914
63.0,10,0.296454
-115.0,10,0.298496
-127.0,10,0.299995
66.0,10,0.302363
-51.0,10,0.303873
-90.0,10,0.305868
-104.0,10,0.307338
41.0,10,0.309695
-142.0,10,0.311164
-111.0,10,0.313114
10.0,10,0.314717
103.0,10,0.317234
89.0,10,0.318941
-82.0,10,0.321033
-154.0,10,0.322506
-8.0,10,0.324901
-84.0,10,0.326509
-171.0,10,0.328459
-24.0,10,0.330059
-103.0,10,0.33237
-121.0,10,0.33388
-39.0,10,0.335889
-116.0,10,0.337385
15.0,10,0.33985
-16.0,10,0.341356
-83.0,10,0.343337
-45.0,10,0.34492
-64.0,10,0.347183
-24.0,10,0.348722
-153.0,10,0.350696
-21.0,10,0.352134
-20.0,10,0.354496
-104.0,10,0.355989
-112.0,10,0.357898
-19.0,10,0.3594
4.0,10,0.361776
79.0,10,0.363483
-75.0,10,0.365428
-156.0,10,0.366974
-117.0,10,0.369356
9.0,10,0.370905
-56.0,10,0.372837
-91.0,10,0.374418
-75.0,10,0.37686
-21.0,10,0.378379
-141.0,10,0.380313
-179.0,10,0.381729
-115.0,10,0.384094
-21.0,10,0.385584
-32.0,10,0.387571
-99.0,10,0.389101
24.0,10,0.391378
76.0,10,0.393028
-8.0,10,0.394954
33.0,10,0.396393
21.0,10,0.398768
-126.0,10,0.40026
-112.0,10,0.402307
-69.0,10,0.4038
-113.0,10,0.406282
-79.0,10,0.407756
-7.0,10,0.409796
-59.0,10,0.411234
-146.0,10,0.413581
-52.0,10,0.415083
-148.0,10,0.417137
-201.0,10,0.418545
-54.0,10,0.421063
