#{"t_start": 1784595165.3003259, "env_id": "None"}
r,l,t
-189.0,10,0.003246
-82.0,10,0.004494
-89.0,10,0.005739
3.0,10,0.006965
-62.0,10,0.008188
-151.0,10,0.009396
-113.0,10,0.010596
-201.0,10,0.011803
-80.0,10,0.013024
-31.0,10,0.01425
-33.0,10,0.015449
-83.0,10,0.016652
-74.0,10,0.017865
-88.0,10,0.019065
-38.0,10,0.02027
-114.0,10,0.021488
-176.0,10,0.022706
-110.0,10,0.023914
-90.0,10,0.025114
-99.0,10,0.026345
-28.0,10,0.027555
-146.0,10,0.028787
-121.0,10,0.029983
-174.0,10,0.031186
-156.0,10,0.032397
-140.0,10,0.033598
-152.0,10,0.034801
-241.0,10,0.035998
-136.0,10,0.037193
-156.0,10,0.038395
-91.0,10,0.03961
-154.0,10,0.040817
-73.0,10,0.042035
-118.0,10,0.043241
-83.0,10,0.044453
-164.0,10,0.045652
-145.0,10,0.046872
-171.0,10,0.048075
-90.0,10,0.049274
-208.0,10,0.050482
-159.0,10,0.051688
-97.0,10,0.052899
-64.0,10,0.054094
-70.0,10,0.055288
-204.0,10,0.056482
-111.0,10,0.057684
-86.0,10,0.058956
-79.0,10,0.060158
-66.0,10,0.061362
-119.0,10,0.06257
-144.0,10,0.063784
-152.0,10,0.064987
1.0,10,0.066184
-26.0,10,0.06738
-78.0,10,0.068596
-126.0,10,0.069793
-84.0,10,0.070999
-111.0,10,0.072231
-114.0,10,0.07343
40.0,10,0.074643
-52.0,10,0.075847
-106.0,10,0.07706
-16.0,10,0.078286
-106.0,10,0.079487
-100.0,10,0.080682
-229.0,10,0.081883
-107.0,10,0.08309
-129.0,10,0.084299
-88.0,10,0.085501
-114.0,10,0.0867
-159.0,10,0.087898
-13.0,10,0.0891
-10.0,10,0.090295
-117.0,10,0.091526
-156.0,10,0.092771
-280.0,10,0.093975
-29.0,10,0.095174
-198.0,10,0.096376
-206.0,10,0.097583
-300.0,10,0.098791
-103.0,10,0.100005
-121.0,10,0.101213
-87.0,10,0.102414
-49.0,10,0.103631
-77.0,10,0.104844
-81.0,10,0.106079
-151.0,10,0.107285
-144.0,10,0.108487
-139.0,10,0.109687
-111.0,10,0.110913
-98.0,10,0.112124
-150.0,10,0.113325
-9.0,10,0.114532
-61.0,10,0.115722
-115.0,10,0.116923
-69.0,10,0.118132
-203.0,10,0.119338
-136.0,10,0.120544
-99.0,10,0.121751
-91.0,10,0.122958
-108.0,10,0.124156
-127.0,10,0.125372
-96.0,10,0.126638
-149.0,10,0.127846
-93.0,10,0.129057
-92.0,10,0.130253
-212.0,10,0.131469
-125.0,10,0.132686
-73.0,10,0.13389
-104.0,10,0.135096
-141.0,10,0.136294
-157.0,10,0.137494
-85.0,10,0.13869
-181.0,10,0.139892
-183.0,10,0.141088
-124.0,10,0.142297
-216.0,10,0.143504
-148.0,10,0.144704
-127.0,10,0.145966
-146.0,10,0.14717
-63.0,10,0.148362
-209.0,10,0.149583
-41.0,10,0.150778
-58.0,10,0.151978
-179.0,10,0.153176
-259.0,10,0.15439
-139.0,10,0.155602
-63.0,10,0.156805
-166.0,10,0.15802
10.0,10,0.159242
-38.0,10,0.160441
-37.0,10,0.161654
13.0,10,0.162862
-69.0,10,0.164069
-228.0,10,0.165294
-105.0,10,0.166507
-111.0,10,0.167716
-80.0,10,0.168916
-35.0,10,0.170117
-23.0,10,0.17132
-198.0,10,0.172519
-270.0,10,0.173712
-84.0,10,0.174913
-213.0,10,0.176122
22.0,10,0.177336
-142.0,10,0.178541
-102.0,10,0.179743
-150.0,10,0.180948
-197.0,10,0.182147
-59.0,10,0.183348
-54.0,10,0.184548
-177.0,10,0.185767
-151.0,10,0.186989
-141.0,10,0.188185
-122.0,10,0.189397
-151.0,10,0.190594
-79.0,10,0.191837
-73.0,10,0.193075
-318.0,10,0.19429
-67.0,10,0.195488
-14.0,10,0.196712
-87.0,10,0.197913
-76.0,10,0.199119
-174.0,10,0.200327
-104.0,10,0.201523
-64.0,10,0.202732
-86.0,10,0.203944
-99.0,10,0.205139
-9.0,10,0.206351
-138.0,10,0.207555
-46.0,10,0.208764
-77.0,10,0.209998
-206.0,10,0.211192
-120.0,10,0.212404
-114.0,10,0.213604
-86.0,10,0.2148
-183.0,10,0.216002
-276.0,10,0.21722
-159.0,10,0.218433
-71.0,10,0.21964
-111.0,10,0.220835
-6.0,10,0.222046
-139.0,10,0.223247
-7.0,10,0.224482
-230.0,10,0.225731
-89.0,10,0.226928
-75.0,10,0.228134
-149.0,10,0.229343
-99.0,10,0.23054
-158.0,10,0.231742
-101.0,10,0.232948
-132.0,10,0.23415
-208.0,10,0.235367
-79.0,10,0.236564
