#{"t_start": 1784595129.9395149, "env_id": "None"}
r,l,t
-66.0,10,0.003512
-53.0,10,0.004753
-123.0,10,0.005977
-24.0,10,0.007191
-96.0,10,0.008413
-1.0,10,0.009638
-171.0,10,0.010859
-112.0,10,0.012065
-92.0,10,0.013261
-215.0,10,0.014468
-151.0,10,0.015666
-11.0,10,0.016866
-66.0,10,0.018148
-74.0,10,0.019423
-176.0,10,0.020626
-105.0,10,0.021826
-37.0,10,0.023033
-42.0,10,0.024233
-261.0,10,0.02543
-181.0,10,0.026627
-83.0,10,0.027857
-100.0,10,0.029096
-88.0,10,0.0303
-141.0,10,0.031505
-13.0,10,0.032731
-41.0,10,0.03393
-105.0,10,0.035162
-164.0,10,0.036376
-7.0,10,0.037579
-84.0,10,0.038777
-142.0,10,0.039987
-124.0,10,0.041189
-233.0,10,0.042405
-86.0,10,0.043608
-118.0,10,0.044807
-145.0,10,0.046015
-60.0,10,0.047216
-156.0,10,0.048415
-90.0,10,0.049619
-90.0,10,0.050822
-69.0,10,0.052058
-111.0,10,0.053293
-124.0,10,0.054501
-102.0,10,0.055698
-119.0,10,0.056895
-126.0,10,0.058097
-88.0,10,0.059307
-80.0,10,0.060514
-35.0,10,0.061746
-198.0,10,0.062953
-119.0,10,0.064147
-120.0,10,0.065341
-96.0,10,0.066541
-263.0,10,0.067739
-161.0,10,0.068978
-136.0,10,0.07021
-19.0,10,0.071434
-169.0,10,0.072635
-148.0,10,0.073837
-86.0,10,0.075029
-206.0,10,0.076225
-86.0,10,0.077419
-8.0,10,0.078606
-221.0,10,0.079809
-47.0,10,0.08101
-117.0,10,0.082235
-183.0,10,0.083435
-203.0,10,0.084643
-158.0,10,0.085903
-173.0,10,0.087097
8.0,10,0.08829
-154.0,10,0.089505
-76.0,10,0.090719
-26.0,10,0.091925
-25.0,10,0.093142
-92.0,10,0.09434
-83.0,10,0.095548
-51.0,10,0.096751
-94.0,10,0.097939
-159.0,10,0.099136
-106.0,10,0.100335
-198.0,10,0.101539
-189.0,10,0.102749
-242.0,10,0.103944
-219.0,10,0.105136
-49.0,10,0.106345
-227.0,10,0.107547
-42.0,10,0.108746
-102.0,10,0.10994
-151.0,10,0.111139
-101.0,10,0.112336
-145.0,10,0.113537
-45.0,10,0.11474
-66.0,10,0.115947
4.0,10,0.117143
-32.0,10,0.118338
-51.0,10,0.11956
-70.0,10,0.12077
-181.0,10,0.121963
-61.0,10,0.123177
-185.0,10,0.124399
11.0,10,0.125595
