#{"t_start": 1784595307.4809768, "env_id": "None"}
r,l,t
-161.0,10,0.003259
-74.0,10,0.00541
-131.0,10,0.007489
-110.0,10,0.009551
-146.0,10,0.011604
-81.0,10,0.013696
-113.0,10,0.015741
-216.0,10,0.017773
-69.0,10,0.01979
-52.0,10,0.021805
-36.0,10,0.023824
-70.0,10,0.025836
-144.0,10,0.02784
-171.0,10,0.029978
-96.0,10,0.032009
-65.0,10,0.034038
-222.0,10,0.036075
-132.0,10,0.038093
-199.0,10,0.040105
-24.0,10,0.042157
-121.0,10,0.044183
-124.0,10,0.046195
-10.0,10,0.048193
-7.0,10,0.050208
-111.0,10,0.05222
-126.0,10,0.05423
-35.0,10,0.056245
-191.0,10,0.058271
-85.0,10,0.06029
-56.0,10,0.062319
-2.0,10,0.064369
-89.0,10,0.066363
-147.0,10,0.068369
-125.0,10,0.070355
15.0,10,0.072353
-162.0,10,0.074352
-99.0,10,0.076352
-33.0,10,0.078357
-121.0,10,0.080367
-157.0,10,0.08235
-166.0,10,0.08436
-49.0,10,0.086335
-181.0,10,0.088338
-100.0,10,0.090358
26.0,10,0.092366
-138.0,10,0.094397
-96.0,10,0.096437
-90.0,10,0.098464
-69.0,10,0.100492
-250.0,10,0.102515
-94.0,10,0.104571
-148.0,10,0.106592
-46.0,10,0.108621
-144.0,10,0.110642
-59.0,10,0.112637
-146.0,10,0.114653
-74.0,10,0.116695
-111.0,10,0.118716
-41.0,10,0.120757
-89.0,10,0.122751
-181.0,10,0.124773
-60.0,10,0.126789
-65.0,10,0.128836
-141.0,10,0.130898
-152.0,10,0.132915
-186.0,10,0.134929
-94.0,10,0.136941
-171.0,10,0.138954
-11.0,10,0.140936
97.0,10,0.142947
-24.0,10,0.14496
-66.0,10,0.146974
-49.0,10,0.148993
12.0,10,0.150995
-194.0,10,0.152992
-129.0,10,0.155022
-135.0,10,0.157041
-5.0,10,0.159039
-16.0,10,0.161048
9.0,10,0.163073
-73.0,10,0.165076
-110.0,10,0.167075
-181.0,10,0.169081
-20.0,10,0.171096
-66.0,10,0.173088
-54.0,10,0.175133
-64.0,10,0.177156
-134.0,10,0.17916
-59.0,10,0.181159
-34.0,10,0.183181
-99.0,10,0.18518
-19.0,10,0.187187
-173.0,10,0.189183
-70.0,10,0.191175
-29.0,10,0.193138
-77.0,10,0.19513
-90.0,10,0.197187
-171.0,10,0.199223
-126.0,10,0.201224
-13.0,10,0.203254
-47.0,10,0.206124
-115.0,10,0.208179
-38.0,10,0.210243
-10.0,10,0.212297
-41.0,10,0.214316
-89.0,10,0.21634
-24.0,10,0.218365
-53.0,10,0.22038
-33.0,10,0.222374
-88.0,10,0.224365
-32.0,10,0.226353
-71.0,10,0.228355
-92.0,10,0.230409
-77.0,10,0.232408
-125.0,10,0.234444
44.0,10,0.236479
-96.0,10,0.238492
-124.0,10,0.240502
-18.0,10,0.242535
12.0,10,0.244553
-19.0,10,0.246555
-35.0,10,0.248579
-84.0,10,0.250586
-122.0,10,0.252583
41.0,10,0.254602
51.0,10,0.256638
-113.0,10,0.258639
19.0,10,0.260641
-140.0,10,0.262676
27.0,10,0.264705
-26.0,10,0.266695
-101.0,10,0.2687
-53.0,10,0.270694
-30.0,10,0.272694
-21.0,10,0.274746
-2.0,10,0.276748
46.0,10,0.278757
-148.0,10,0.280766
-28.0,10,0.282774
-65.0,10,0.284801
-14.0,10,0.28681
-84.0,10,0.288837
-35.0,10,0.290864
-10.0,10,0.292898
-22.0,10,0.2949
-84.0,10,0.296957
44.0,10,0.298973
39.0,10,0.300974
-2.0,10,0.302985
-59.0,10,0.304975
-52.0,10,0.307067
-72.0,10,0.309092
-51.0,10,0.311112
-8.0,10,0.313103
-82.0,10,0.315111
22.0,10,0.317125
-136.0,10,0.319127
-62.0,10,0.321129
-28.0,10,0.323124
-35.0,10,0.32515
9.0,10,0.32717
-42.0,10,0.329211
-1.0,10,0.33123
23.0,10,0.333251
-42.0,10,0.335241
-72.0,10,0.337242
16.0,10,0.33929
-89.0,10,0.341303
-112.0,10,0.343316
-35.0,10,0.345336
-30.0,10,0.347333
-124.0,10,0.349332
-52.0,10,0.351344
-71.0,10,0.353365
-47.0,10,0.355384
49.0,10,0.357404
-70.0,10,0.359417
-49.0,10,0.361414
-87.0,10,0.363506
-14.0,10,0.36556
-106.0,10,0.367579
63.0,10,0.369588
-24.0,10,0.371599
42.0,10,0.373601
-65.0,10,0.375621
-94.0,10,0.377677
-86.0,10,0.379687
-79.0,10,0.381698
-8.0,10,0.383709
35.0,10,0.38572
-98.0,10,0.387702
-26.0,10,0.389712
-61.0,10,0.391734
9.0,10,0.39373
-123.0,10,0.395784
-99.0,10,0.397846
25.0,10,0.399869
-14.0,10,0.401865
-56.0,10,0.403879
-77.0,10,0.405883
-18.0,10,0.408726
21.0,10,0.410759
67.0,10,0.412823
-66.0,10,0.414842
-38.0,10,0.416864
-56.0,10,0.418865
9.0,10,0.420886
-112.0,10,0.422936
-44.0,10,0.424957
-122.0,10,0.426975
5.0,10,0.429016
6.0,10,0.431085
-14.0,10,0.433096
-51.0,10,0.435112
0.0,10,0.437123
5.0,10,0.439156
-7.0,10,0.441166
-2.0,10,0.443222
-59.0,10,0.445228
21.0,10,0.447223
-45.0,10,0.449218
25.0,10,0.451209
-75.0,10,0.453196
-20.0,10,0.455211
-36.0,10,0.457203
50.0,10,0.459218
-31.0,10,0.461227
-47.0,10,0.463288
21.0,10,0.465264
40.0,10,0.467269
-14.0,10,0.469317
-119.0,10,0.471319
46.0,10,0.473332
-45.0,10,0.475338
-106.0,10,0.477355
-69.0,10,0.479353
-44.0,10,0.481342
28.0,10,0.483355
-26.0,10,0.485366
-25.0,10,0.487374
44.0,10,0.489366
-56.0,10,0.491381
-86.0,10,0.493392
-63.0,10,0.49542
21.0,10,0.497445
-40.0,10,0.499443
-49.0,10,0.501442
-58.0,10,0.503451
-68.0,10,0.505457
-77.0,10,0.507465
-30.0,10,0.509506
-80.0,10,0.51153
-7.0,10,0.513562
-59.0,10,0.515559
-79.0,10,0.517585
5.0,10,0.519582
-33.0,10,0.521587
-5.0,10,0.523609
-61.0,10,0.525652
28.0,10,0.527656
-106.0,10,0.529676
-14.0,10,0.531683
56.0,10,0.5337
39.0,10,0.535703
-66.0,10,0.537721
-19.0,10,0.539762
-42.0,10,0.541777
-70.0,10,0.543821
30.0,10,0.545842
-6.0,10,0.547854
-3.0,10,0.549858
-91.0,10,0.55185
95.0,10,0.553838
22.0,10,0.555863
-7.0,10,0.557847
-77.0,10,0.559859
-89.0,10,0.561874
60.0,10,0.563945
-119.0,10,0.565934
-145.0,10,0.567932
-68.0,10,0.569958
16.0,10,0.57196
-19.0,10,0.573978
-42.0,10,0.576035
-58.0,10,0.57806
9.0,10,0.580095
-49.0,10,0.582108
22.0,10,0.58413
-5.0,10,0.586143
-123.0,10,0.588165
56.0,10,0.590204
-44.0,10,0.592227
-99.0,10,0.594231
79.0,10,0.5963
-32.0,10,0.598326
-111.0,10,0.600348
2.0,10,0.602374
-2.0,10,0.604391
-20.0,10,0.606395
53.0,10,0.608406
-19.0,10,0.611259
-96.0,10,0.613297
40.0,10,0.615324
-3.0,10,0.617363
-40.0,10,0.619384
-17.0,10,0.621401
-38.0,10,0.623398
-38.0,10,0.62542
-19.0,10,0.627436
-58.0,10,0.629476
16.0,10,0.63152
-5.0,10,0.633533
58.0,10,0.635559
-30.0,10,0.637585
-63.0,10,0.639611
2.0,10,0.641635
-64.0,10,0.643655
-12.0,10,0.645676
-31.0,10,0.6477
-61.0,10,0.649715
-17.0,10,0.651728
19.0,10,0.653734
32.0,10,0.65572
-117.0,10,0.657702
-24.0,10,0.659732
-34.0,10,0.661762
-10.0,10,0.663846
-54.0,10,0.665906
91.0,10,0.667914
-56.0,10,0.66989
-59.0,10,0.671916
19.0,10,0.673913
91.0,10,0.675929
-73.0,10,0.677916
-75.0,10,0.679977
-3.0,10,0.682016
-64.0,10,0.68404
-76.0,10,0.686067
-68.0,10,0.688081
-38.0,10,0.690076
14.0,10,0.69207
4.0,10,0.694075
9.0,10,0.696098
9.0,10,0.698115
26.0,10,0.700102
-112.0,10,0.70209
-83.0,10,0.704087
49.0,10,0.706086
-59.0,10,0.708079
7.0,10,0.710068
-72.0,10,0.712169
-25.0,10,0.714279
49.0,10,0.716327
-3.0,10,0.71851
-24.0,10,0.720608
-33.0,10,0.72266
-101.0,10,0.724702
63.0,10,0.726768
-56.0,10,0.728855
4.0,10,0.730915
-49.0,10,0.732977
-63.0,10,0.735047
21.0,10,0.737109
-14.0,10,0.739131
-170.0,10,0.741182
37.0,10,0.74324
-26.0,10,0.74526
16.0,10,0.747294
91.0,10,0.749296
-45.0,10,0.751303
-9.0,10,0.753308
10.0,10,0.755323
-70.0,10,0.75733
-30.0,10,0.759311
-84.0,10,0.761277
10.0,10,0.763399
21.0,10,0.765435
-54.0,10,0.767458
-82.0,10,0.76947
-62.0,10,0.771484
-19.0,10,0.773505
-26.0,10,0.775499
-66.0,10,0.777506
-49.0,10,0.779492
28.0,10,0.781505
-23.0,10,0.78352
-14.0,10,0.785496
56.0,10,0.787476
79.0,10,0.78949
-26.0,10,0.7915
-89.0,10,0.793484
2.0,10,0.79551
44.0,10,0.797528
30.0,10,0.799551
-73.0,10,0.801556
-47.0,10,0.803579
-26.0,10,0.805607
-12.0,10,0.807635
-53.0,10,0.809653
63.0,10,0.811672
-72.0,10,0.814591
-19.0,10,0.816615
-2.0,10,0.818686
60.0,10,0.8207
-32.0,10,0.822715
-70.0,10,0.82473
14.0,10,0.826743
44.0,10,0.828793
-61.0,10,0.830843
-82.0,10,0.832862
-70.0,10,0.834875
-54.0,10,0.836884
-38.0,10,0.838891
1.0,10,0.840946
-54.0,10,0.842993
5.0,10,0.845006
-39.0,10,0.847121
-101.0,10,0.849187
120.0,10,0.851229
-14.0,10,0.853245
-63.0,10,0.855265
-28.0,10,0.857291
-21.0,10,0.859313
-47.0,10,0.861325
-58.0,10,0.863362
-49.0,10,0.865396
21.0,10,0.867429
