#{"t_start": 1784595078.509977, "env_id": "None"}
r,l,t
-28.0,10,0.0033
44.0,10,0.004538
49.0,10,0.005773
-78.0,10,0.007
-166.0,10,0.008222
-133.0,10,0.009473
-84.0,10,0.010714
-88.0,10,0.011937
-86.0,10,0.013158
-182.0,10,0.014379
-142.0,10,0.015585
15.0,10,0.016836
-204.0,10,0.018065
-116.0,10,0.019272
-71.0,10,0.020513
-180.0,10,0.021727
-174.0,10,0.022939
-61.0,10,0.024149
-21.0,10,0.025358
-116.0,10,0.026559
-114.0,10,0.027776
17.0,10,0.028976
-42.0,10,0.030179
-73.0,10,0.031387
-36.0,10,0.032612
-36.0,10,0.033832
-241.0,10,0.035038
-121.0,10,0.036244
-209.0,10,0.037453
-31.0,10,0.038676
-156.0,10,0.039885
-189.0,10,0.041088
-69.0,10,0.042326
-171.0,10,0.043532
-9.0,10,0.044738
-103.0,10,0.045995
-121.0,10,0.047205
-109.0,10,0.048398
77.0,10,0.049611
-31.0,10,0.050826
-66.0,10,0.05203
-157.0,10,0.053238
-253.0,10,0.054435
-104.0,10,0.055644
-196.0,10,0.056845
-6.0,10,0.058077
-178.0,10,0.059293
-164.0,10,0.060511
-51.0,10,0.06172
-74.0,10,0.062934
-96.0,10,0.064148
-163.0,10,0.065349
-191.0,10,0.066591
-46.0,10,0.067816
-139.0,10,0.069025
-142.0,10,0.070227
-83.0,10,0.071444
-93.0,10,0.072651
-72.0,10,0.073863
-156.0,10,0.075076
-157.0,10,0.076277
-58.0,10,0.077501
-79.0,10,0.078715
-211.0,10,0.079927
-44.0,10,0.081148
-229.0,10,0.082362
-58.0,10,0.083573
-186.0,10,0.084784
-35.0,10,0.086
-124.0,10,0.087224
-166.0,10,0.088432
-193.0,10,0.089633
-36.0,10,0.090851
-54.0,10,0.092062
-179.0,10,0.093284
-161.0,10,0.094492
-169.0,10,0.095698
-151.0,10,0.096912
-43.0,10,0.098132
-167.0,10,0.09934
-91.0,10,0.10055
-109.0,10,0.101772
-148.0,10,0.102985
-193.0,10,0.104207
