#{"t_start": 1784595050.947219, "env_id": "None"}
r,l,t
-70.0,10,0.004665
-203.0,10,0.005001
-135.0,10,0.005346
-184.0,10,0.005667
-161.0,10,0.006348
-108.0,10,0.006679
-116.0,10,0.007022
-43.0,10,0.007339
-162.0,10,0.008032
-103.0,10,0.008387
-88.0,10,0.008757
-134.0,10,0.009105
-144.0,10,0.009739
-145.0,10,0.010075
-28.0,10,0.010421
-156.0,10,0.010757
-70.0,10,0.011375
-102.0,10,0.011702
-113.0,10,0.012044
-101.0,10,0.012368
-77.0,10,0.013051
-243.0,10,0.013387
-48.0,10,0.013739
-21.0,10,0.014073
-44.0,10,0.01464
-32.0,10,0.014978
-47.0,10,0.015336
-179.0,10,0.015676
-194.0,10,0.016352
-203.0,10,0.016713
-177.0,10,0.01707
-223.0,10,0.017414
-141.0,10,0.018043
-153.0,10,0.018377
-86.0,10,0.018723
-194.0,10,0.019059
-4.0,10,0.019671
-62.0,10,0.02002
-151.0,10,0.020382
-157.0,10,0.020725
-109.0,10,0.021567
-153.0,10,0.021932
-97.0,10,0.022299
-81.0,10,0.022645
-209.0,10,0.023334
-351.0,10,0.023684
-30.0,10,0.024047
-171.0,10,0.024436
-147.0,10,0.025275
-163.0,10,0.02567
-128.0,10,0.026138
-281.0,10,0.026476
-102.0,10,0.027139
-166.0,10,0.027468
-49.0,10,0.027808
-150.0,10,0.028128
-77.0,10,0.028705
-203.0,10,0.029035
-86.0,10,0.02938
-191.0,10,0.029699
-108.0,10,0.030266
-76.0,10,0.030586
-109.0,10,0.030933
-56.0,10,0.031254
-26.0,10,0.031816
-70.0,10,0.032135
-184.0,10,0.032472
-77.0,10,0.032789
-33.0,10,0.033357
-71.0,10,0.033694
-106.0,10,0.034051
-7.0,10,0.03439
-201.0,10,0.034992
-113.0,10,0.035315
-145.0,10,0.035652
-224.0,10,0.035974
-253.0,10,0.036543
-29.0,10,0.036871
-91.0,10,0.037206
-76.0,10,0.037523
-62.0,10,0.038098
-105.0,10,0.038415
-152.0,10,0.038761
-87.0,10,0.039076
-49.0,10,0.039655
-84.0,10,0.039975
-42.0,10,0.04031
-13.0,10,0.040624
-49.0,10,0.041198
-171.0,10,0.041527
-108.0,10,0.041879
-48.0,10,0.042206
-85.0,10,0.042773
-28.0,10,0.043111
-98.0,10,0.043467
-141.0,10,0.043797
-93.0,10,0.044408
-196.0,10,0.044753
-132.0,10,0.045115
-275.0,10,0.045453
-19.0,10,0.048106
-19.0,10,0.049894
-19.0,10,0.05229
-136.0,10,0.05375
-37.0,10,0.056343
-62.0,10,0.058085
-21.0,10,0.060381
-201.0,10,0.062034
-56.0,10,0.064694
-171.0,10,0.066311
5.0,10,0.068285
-122.0,10,0.069998
-22.0,10,0.072463
-84.0,10,0.074139
73.0,10,0.076249
-67.0,10,0.077959
-14.0,10,0.080645
-12.0,10,0.08247
-196.0,10,0.084614
-31.0,10,0.086087
-116.0,10,0.088525
-32.0,10,0.090337
-47.0,10,0.092477
-29.0,10,0.093966
49.0,10,0.096599
-99.0,10,0.098139
5.0,10,0.100203
-146.0,10,0.101827
77.0,10,0.104167
-107.0,10,0.105754
-130.0,10,0.107838
11.0,10,0.109532
15.0,10,0.112087
-103.0,10,0.113627
16.0,10,0.11585
-154.0,10,0.117477
96.0,10,0.120177
-12.0,10,0.122014
-102.0,10,0.124171
-67.0,10,0.125726
-27.0,10,0.128335
-99.0,10,0.130037
-20.0,10,0.132124
-35.0,10,0.1337
59.0,10,0.13616
-83.0,10,0.137747
-107.0,10,0.139892
-22.0,10,0.141544
-85.0,10,0.144137
-18.0,10,0.145595
-35.0,10,0.147908
7.0,10,0.149623
-28.0,10,0.152201
63.0,10,0.154034
96.0,10,0.156362
-54.0,10,0.157961
-28.0,10,0.160514
-20.0,10,0.162276
-41.0,10,0.164382
-89.0,10,0.166088
56.0,10,0.168628
-178.0,10,0.170208
-41.0,10,0.172341
-97.0,10,0.174011
-2.0,10,0.176396
-106.0,10,0.178004
-39.0,10,0.180225
-116.0,10,0.181987
-134.0,10,0.18449
27.0,10,0.186086
-91.0,10,0.188206
-17.0,10,0.189919
-19.0,10,0.192607
-47.0,10,0.194285
10.0,10,0.196545
-77.0,10,0.198278
-51.0,10,0.200808
-29.0,10,0.202502
12.0,10,0.204585
4.0,10,0.206304
-11.0,10,0.208814
47.0,10,0.210481
50.0,10,0.21273
-168.0,10,0.214283
26.0,10,0.216859
-7.0,10,0.218638
61.0,10,0.220909
-29.0,10,0.222769
85.0,10,0.225695
15.0,10,0.227639
-4.0,10,0.230035
28.0,10,0.231897
-60.0,10,0.234891
-62.0,10,0.237059
-83.0,10,0.239634
-66.0,10,0.241614
-30.0,10,0.244704
35.0,10,0.246523
-51.0,10,0.248985
-6.0,10,0.250676
-12.0,10,0.253726
-39.0,10,0.255539
45.0,10,0.257986
-18.0,10,0.259833
74.0,10,0.262524
-31.0,10,0.264308
-61.0,10,0.266572
40.0,10,0.268411
-12.0,10,0.271112
-8.0,10,0.272954
5.0,10,0.27526
103.0,10,0.277076
-28.0,10,0.279784
18.0,10,0.281551
54.0,10,0.283881
33.0,10,0.285695
5.0,10,0.288382
40.0,10,0.290271
12.0,10,0.292652
24.0,10,0.294511
17.0,10,0.297306
-60.0,10,0.299088
28.0,10,0.301369
50.0,10,0.303214
17.0,10,0.305877
-47.0,10,0.307693
73.0,10,0.310021
34.0,10,0.311848
-7.0,10,0.314482
29.0,10,0.316356
47.0,10,0.318635
-19.0,10,0.32052
-35.0,10,0.323055
33.0,10,0.324868
1.0,10,0.327184
3.0,10,0.328882
96.0,10,0.33151
50.0,10,0.333322
24.0,10,0.335648
68.0,10,0.337462
-1.0,10,0.340127
-52.0,10,0.341929
57.0,10,0.34424
57.0,10,0.346015
11.0,10,0.348688
38.0,10,0.350485
85.0,10,0.352783
58.0,10,0.354609
-22.0,10,0.357242
86.0,10,0.359062
61.0,10,0.361442
75.0,10,0.363313
78.0,10,0.3659
103.0,10,0.367752
5.0,10,0.370119
74.0,10,0.371921
114.0,10,0.374603
30.0,10,0.376494
82.0,10,0.37874
19.0,10,0.380584
-40.0,10,0.38323
36.0,10,0.385084
96.0,10,0.387401
73.0,10,0.3892
17.0,10,0.391878
75.0,10,0.393756
131.0,10,0.396126
85.0,10,0.397932
76.0,10,0.40056
108.0,10,0.402433
131.0,10,0.40478
-6.0,10,0.406606
62.0,10,0.409321
-11.0,10,0.411205
119.0,10,0.413451
50.0,10,0.415315
45.0,10,0.417991
24.0,10,0.419784
48.0,10,0.422116
15.0,10,0.424009
96.0,10,0.426719
-39.0,10,0.428576
101.0,10,0.430941
-25.0,10,0.432755
80.0,10,0.435471
29.0,10,0.437305
96.0,10,0.439559
75.0,10,0.441361
57.0,10,0.444009
-12.0,10,0.445791
66.0,10,0.447949
126.0,10,0.449776
-7.0,10,0.452406
47.0,10,0.45425
26.0,10,0.456559
91.0,10,0.458403
63.0,10,0.460952
84.0,10,0.46285
46.0,10,0.465193
45.0,10,0.467019
13.0,10,0.469721
68.0,10,0.471542
-42.0,10,0.473759
-80.0,10,0.475558
-5.0,10,0.478122
33.0,10,0.479941
57.0,10,0.48226
126.0,10,0.484093
45.0,10,0.486788
61.0,10,0.488614
75.0,10,0.491006
19.0,10,0.492907
96.0,10,0.495587
103.0,10,0.49742
72.0,10,0.499618
108.0,10,0.501467
-26.0,10,0.504096
78.0,10,0.505991
80.0,10,0.508336
61.0,10,0.510156
43.0,10,0.512841
154.0,10,0.514683
93.0,10,0.517048
17.0,10,0.518868
30.0,10,0.521581
-36.0,10,0.523409
75.0,10,0.52572
154.0,10,0.527593
17.0,10,0.530195
-39.0,10,0.531978
12.0,10,0.53426
48.0,10,0.536067
33.0,10,0.538786
66.0,10,0.54066
52.0,10,0.543001
131.0,10,0.544865
35.0,10,0.547689
-64.0,10,0.549507
91.0,10,0.551818
38.0,10,0.553699
82.0,10,0.556468
-10.0,10,0.558341
147.0,10,0.560662
58.0,10,0.562454
119.0,10,0.565135
131.0,10,0.567019
-1.0,10,0.569379
89.0,10,0.571243
78.0,10,0.573903
147.0,10,0.575789
101.0,10,0.578231
57.0,10,0.580057
154.0,10,0.582759
55.0,10,0.584581
126.0,10,0.586907
75.0,10,0.588762
91.0,10,0.591487
91.0,10,0.593352
98.0,10,0.595687
126.0,10,0.597532
131.0,10,0.600207
177.0,10,0.602062
154.0,10,0.604353
126.0,10,0.606219
126.0,10,0.60884
147.0,10,0.610629
75.0,10,0.612958
-10.0,10,0.614741
119.0,10,0.617409
58.0,10,0.619224
154.0,10,0.621504
110.0,10,0.623324
65.0,10,0.625988
124.0,10,0.62784
117.0,10,0.630129
73.0,10,0.631965
45.0,10,0.6348
52.0,10,0.636695
131.0,10,0.63904
91.0,10,0.640781
101.0,10,0.643505
147.0,10,0.645404
96.0,10,0.647697
112.0,10,0.649525
110.0,10,0.652359
61.0,10,0.65417
114.0,10,0.656488
124.0,10,0.658344
101.0,10,0.661058
177.0,10,0.662945
126.0,10,0.665353
109.0,10,0.667161
91.0,10,0.669788
