#{"t_start": 1784595257.65381, "env_id": "None"}
r,l,t
-56.0,10,0.003271
-98.0,10,0.004493
-118.0,10,0.007171
9.0,10,0.008413
-169.0,10,0.010586
-180.0,10,0.011798
-49.0,10,0.013933
-135.0,10,0.01516
-51.0,10,0.017279
-132.0,10,0.018503
-156.0,10,0.020666
-181.0,10,0.021919
-90.0,10,0.024114
-49.0,10,0.025343
-117.0,10,0.027456
-184.0,10,0.028667
-149.0,10,0.030796
-118.0,10,0.032013
-3.0,10,0.034111
-154.0,10,0.035317
-19.0,10,0.037421
-126.0,10,0.038633
-113.0,10,0.040701
-118.0,10,0.041899
-109.0,10,0.043987
-141.0,10,0.045203
-72.0,10,0.047308
-77.0,10,0.048519
-51.0,10,0.050602
-119.0,10,0.051819
-31.0,10,0.053904
-16.0,10,0.05511
-90.0,10,0.057204
-71.0,10,0.058418
-110.0,10,0.060497
-171.0,10,0.061717
-77.0,10,0.063784
-118.0,10,0.064994
-9.0,10,0.067044
-4.0,10,0.068255
-28.0,10,0.070366
-123.0,10,0.07159
-147.0,10,0.073665
-72.0,10,0.074883
-134.0,10,0.07698
-42.0,10,0.078186
-101.0,10,0.080257
-21.0,10,0.081476
-37.0,10,0.083558
-35.0,10,0.084781
14.0,10,0.086853
-77.0,10,0.088082
-37.0,10,0.090263
53.0,10,0.091482
-24.0,10,0.093553
105.0,10,0.094771
-33.0,10,0.096828
-7.0,10,0.098046
-108.0,10,0.100145
12.0,10,0.101358
-54.0,10,0.103437
-48.0,10,0.104655
-79.0,10,0.106733
-42.0,10,0.107944
-29.0,10,0.110002
-108.0,10,0.111201
-10.0,10,0.113279
21.0,10,0.114493
-15.0,10,0.116551
-107.0,10,0.117762
-19.0,10,0.119813
-54.0,10,0.121007
-26.0,10,0.123058
28.0,10,0.124264
-14.0,10,0.126308
-46.0,10,0.12751
-58.0,10,0.129571
-7.0,10,0.130775
-29.0,10,0.132845
-82.0,10,0.134067
-196.0,10,0.136157
-33.0,10,0.137356
29.0,10,0.139389
39.0,10,0.140593
-129.0,10,0.142641
33.0,10,0.143847
-93.0,10,0.145898
21.0,10,0.147138
0.0,10,0.149194
-30.0,10,0.150402
-148.0,10,0.152449
9.0,10,0.153659
-91.0,10,0.155762
33.0,10,0.156996
-3.0,10,0.159074
3.0,10,0.160274
-26.0,10,0.162327
-32.0,10,0.163522
-26.0,10,0.165594
-81.0,10,0.166806
21.0,10,0.168904
-67.0,10,0.170123
102.0,10,0.172201
-28.0,10,0.173413
-120.0,10,0.175483
-103.0,10,0.176702
-49.0,10,0.178759
-90.0,10,0.179965
-126.0,10,0.182042
-28.0,10,0.183252
-117.0,10,0.185308
74.0,10,0.186515
-158.0,10,0.188593
4.0,10,0.189858
-77.0,10,0.191938
-65.0,10,0.193139
-17.0,10,0.195188
-79.0,10,0.196392
-100.0,10,0.198488
-107.0,10,0.199689
-131.0,10,0.201771
16.0,10,0.203003
19.0,10,0.205073
-26.0,10,0.206273
63.0,10,0.20837
-33.0,10,0.209578
-31.0,10,0.21167
14.0,10,0.212883
-65.0,10,0.214924
-83.0,10,0.216133
16.0,10,0.218213
-72.0,10,0.219421
-40.0,10,0.221463
0.0,10,0.222673
0.0,10,0.224777
44.0,10,0.225988
-66.0,10,0.228031
-45.0,10,0.229232
38.0,10,0.231305
72.0,10,0.232522
23.0,10,0.23458
-61.0,10,0.235784
61.0,10,0.237878
-56.0,10,0.239083
-49.0,10,0.241176
-84.0,10,0.242386
-91.0,10,0.24444
-96.0,10,0.245643
41.0,10,0.247707
-77.0,10,0.248918
-19.0,10,0.250985
-14.0,10,0.252193
-16.0,10,0.254258
7.0,10,0.255481
-3.0,10,0.257553
-37.0,10,0.258755
-61.0,10,0.260832
-43.0,10,0.262039
-47.0,10,0.264093
-84.0,10,0.265313
-29.0,10,0.267398
-72.0,10,0.26863
-67.0,10,0.270741
28.0,10,0.271982
-79.0,10,0.274079
