#{"t_start": 1784595233.682345, "env_id": "None"}
r,l,t
-111.0,10,0.004014
24.0,10,0.006868
-168.0,10,0.009773
7.0,10,0.012636
-129.0,10,0.015436
-144.0,10,0.018207
-92.0,10,0.020967
-78.0,10,0.02375
-71.0,10,0.026507
-154.0,10,0.029326
-2.0,10,0.032109
19.0,10,0.034883
-54.0,10,0.037656
-89.0,10,0.040405
-37.0,10,0.043193
-161.0,10,0.045972
-2.0,10,0.048759
-131.0,10,0.051539
-39.0,10,0.054325
56.0,10,0.057079
-2.0,10,0.05981
-123.0,10,0.062653
-60.0,10,0.065429
2.0,10,0.068136
3.0,10,0.070885
-77.0,10,0.073669
-60.0,10,0.076479
-100.0,10,0.079226
-31.0,10,0.082009
-74.0,10,0.084786
-59.0,10,0.087552
-64.0,10,0.0903
-19.0,10,0.093088
16.0,10,0.095901
-51.0,10,0.098649
-64.0,10,0.101392
-107.0,10,0.104167
-37.0,10,0.106959
-2.0,10,0.109713
-141.0,10,0.112476
-61.0,10,0.115254
-152.0,10,0.117984
-16.0,10,0.120707
49.0,10,0.123443
-54.0,10,0.126173
-86.0,10,0.128982
-104.0,10,0.131708
-64.0,10,0.134462
-21.0,10,0.137181
-63.0,10,0.139913
-12.0,10,0.143426
-53.0,10,0.146195
54.0,10,0.149
16.0,10,0.151728
-30.0,10,0.154487
-39.0,10,0.157245
-80.0,10,0.159958
-61.0,10,0.162792
-40.0,10,0.165504
-134.0,10,0.168246
31.0,10,0.170992
-4.0,10,0.173739
-28.0,10,0.176522
-58.0,10,0.179282
-33.0,10,0.182073
9.0,10,0.184811
-42.0,10,0.187544
-36.0,10,0.190273
-77.0,10,0.193007
56.0,10,0.195777
-37.0,10,0.198541
-52.0,10,0.201267
24.0,10,0.204005
-65.0,10,0.206736
-71.0,10,0.209485
-2.0,10,0.212235
0.0,10,0.215011
-16.0,10,0.217755
-116.0,10,0.220495
26.0,10,0.223231
49.0,10,0.225949
-114.0,10,0.228769
-24.0,10,0.231515
4.0,10,0.234237
-49.0,10,0.236974
-104.0,10,0.239726
-136.0,10,0.242479
-110.0,10,0.245209
-37.0,10,0.247953
9.0,10,0.250687
-140.0,10,0.253404
-21.0,10,0.256127
-85.0,10,0.258844
28.0,10,0.261622
-84.0,10,0.264349
-63.0,10,0.267074
-68.0,10,0.269821
-87.0,10,0.272535
-59.0,10,0.275274
9.0,10,0.278007
-26.0,10,0.281561
91.0,10,0.284378
72.0,10,0.287163
-72.0,10,0.289913
-71.0,10,0.292679
2.0,10,0.295466
-19.0,10,0.298225
-4.0,10,0.300968
56.0,10,0.303695
-26.0,10,0.306457
-63.0,10,0.309252
15.0,10,0.312009
-7.0,10,0.314736
-34.0,10,0.317465
1.0,10,0.32023
-109.0,10,0.32298
-37.0,10,0.325715
-41.0,10,0.328472
21.0,10,0.331207
61.0,10,0.333935
40.0,10,0.336653
-42.0,10,0.339382
16.0,10,0.34215
28.0,10,0.344902
7.0,10,0.347662
-47.0,10,0.350382
-98.0,10,0.353099
12.0,10,0.355851
-61.0,10,0.358582
-7.0,10,0.361342
-86.0,10,0.36408
-102.0,10,0.366794
-54.0,10,0.369524
-78.0,10,0.372282
-26.0,10,0.37504
28.0,10,0.377804
85.0,10,0.380536
16.0,10,0.383291
-23.0,10,0.386027
-50.0,10,0.388773
46.0,10,0.391556
142.0,10,0.394316
35.0,10,0.397037
5.0,10,0.399793
42.0,10,0.402506
-30.0,10,0.405247
-2.0,10,0.408
10.0,10,0.410718
39.0,10,0.413473
-81.0,10,0.416196
-76.0,10,0.419754
-47.0,10,0.422505
64.0,10,0.425304
0.0,10,0.428078
35.0,10,0.430854
33.0,10,0.433638
-42.0,10,0.436412
-14.0,10,0.439182
56.0,10,0.441979
-24.0,10,0.444724
21.0,10,0.447457
-17.0,10,0.450175
6.0,10,0.452894
80.0,10,0.455627
-7.0,10,0.458346
-10.0,10,0.46115
51.0,10,0.463882
-27.0,10,0.466611
6.0,10,0.469348
-66.0,10,0.472072
8.0,10,0.474834
-101.0,10,0.477585
7.0,10,0.480318
38.0,10,0.48305
44.0,10,0.485783
-10.0,10,0.488511
-14.0,10,0.491257
-35.0,10,0.494003
0.0,10,0.496814
33.0,10,0.49955
19.0,10,0.50228
-16.0,10,0.50504
47.0,10,0.507785
61.0,10,0.51051
-14.0,10,0.513264
7.0,10,0.515981
24.0,10,0.518731
3.0,10,0.521475
-32.0,10,0.524197
43.0,10,0.526922
-14.0,10,0.529676
16.0,10,0.532406
-61.0,10,0.535163
65.0,10,0.537888
44.0,10,0.540609
79.0,10,0.543365
26.0,10,0.546103
-58.0,10,0.548811
14.0,10,0.551539
61.0,10,0.554303
-30.0,10,0.55782
63.0,10,0.560635
42.0,10,0.563384
-104.0,10,0.566115
16.0,10,0.568824
-37.0,10,0.571574
21.0,10,0.574342
96.0,10,0.577067
-13.0,10,0.579789
19.0,10,0.582519
101.0,10,0.585256
-20.0,10,0.588017
-8.0,10,0.59073
103.0,10,0.593485
46.0,10,0.596278
-77.0,10,0.599013
23.0,10,0.601744
18.0,10,0.604465
7.0,10,0.607229
-37.0,10,0.609996
-9.0,10,0.612733
-14.0,10,0.615467
68.0,10,0.618185
26.0,10,0.620928
33.0,10,0.623676
72.0,10,0.626428
-32.0,10,0.629218
-2.0,10,0.631945
63.0,10,0.634681
27.0,10,0.63741
-58.0,10,0.640158
21.0,10,0.642936
-15.0,10,0.645693
1.0,10,0.648444
2.0,10,0.651175
46.0,10,0.653931
63.0,10,0.656645
-23.0,10,0.659359
33.0,10,0.66207
19.0,10,0.664795
-5.0,10,0.667529
40.0,10,0.670227
-14.0,10,0.672969
63.0,10,0.67571
40.0,10,0.67843
-47.0,10,0.681203
21.0,10,0.683936
-9.0,10,0.686677
-11.0,10,0.689414
86.0,10,0.692161
65.0,10,0.695748
15.0,10,0.698536
27.0,10,0.701341
55.0,10,0.704078
35.0,10,0.70683
80.0,10,0.709569
121.0,10,0.712285
20.0,10,0.715014
26.0,10,0.717736
50.0,10,0.720485
54.0,10,0.723221
52.0,10,0.725962
116.0,10,0.728758
6.0,10,0.731501
108.0,10,0.734219
10.0,10,0.736945
-28.0,10,0.739717
-30.0,10,0.742467
52.0,10,0.745189
24.0,10,0.747941
-87.0,10,0.750682
41.0,10,0.753416
4.0,10,0.756144
56.0,10,0.758835
103.0,10,0.761604
-13.0,10,0.76432
-46.0,10,0.767033
58.0,10,0.769772
27.0,10,0.77252
51.0,10,0.775261
-27.0,10,0.777993
73.0,10,0.78071
51.0,10,0.783453
-22.0,10,0.786152
91.0,10,0.788885
-46.0,10,0.791606
96.0,10,0.794351
-3.0,10,0.797091
114.0,10,0.799819
-2.0,10,0.802551
96.0,10,0.805264
-16.0,10,0.808028
46.0,10,0.810758
114.0,10,0.813483
-16.0,10,0.816212
