#{"t_start": 1784595006.473858, "env_id": "None"}
r,l,t
-313.0,10,0.001842
66.0,10,0.002175
-44.0,10,0.002515
-158.0,10,0.002832
-199.0,10,0.003405
-94.0,10,0.003724
-33.0,10,0.004063
-63.0,10,0.00438
-93.0,10,0.004937
-82.0,10,0.00526
-19.0,10,0.005596
40.0,10,0.005917
-28.0,10,0.006527
-120.0,10,0.006848
-40.0,10,0.007185
-54.0,10,0.007515
-83.0,10,0.0081
-241.0,10,0.008421
-156.0,10,0.008755
-76.0,10,0.009074
-110.0,10,0.00966
-224.0,10,0.009994
-67.0,10,0.010329
-113.0,10,0.010646
-91.0,10,0.011221
-91.0,10,0.011545
-19.0,10,0.011882
-209.0,10,0.0122
-137.0,10,0.012755
-190.0,10,0.013077
-227.0,10,0.013415
-62.0,10,0.013734
-164.0,10,0.01428
-156.0,10,0.014609
-194.0,10,0.014972
-124.0,10,0.01532
-269.0,10,0.015884
-41.0,10,0.016205
-18.0,10,0.016543
-182.0,10,0.016861
-116.0,10,0.017431
-146.0,10,0.017773
-159.0,10,0.018111
-99.0,10,0.018428
-111.0,10,0.019006
-88.0,10,0.019327
-91.0,10,0.019663
-174.0,10,0.019982
-67.0,10,0.020576
-66.0,10,0.020906
-138.0,10,0.021315
-159.0,10,0.02164
-177.0,10,0.022222
-136.0,10,0.022543
-14.0,10,0.022875
-129.0,10,0.023196
-217.0,10,0.023778
-107.0,10,0.024128
-16.0,10,0.024477
-183.0,10,0.024798
6.0,10,0.025392
-177.0,10,0.025713
-94.0,10,0.026049
-110.0,10,0.026368
-126.0,10,0.026941
-104.0,10,0.027264
-132.0,10,0.027601
-122.0,10,0.027923
-151.0,10,0.028468
-49.0,10,0.028788
-179.0,10,0.029123
-106.0,10,0.029441
-106.0,10,0.030011
-115.0,10,0.030331
-144.0,10,0.030666
-93.0,10,0.03101
-159.0,10,0.031629
-30.0,10,0.031956
-181.0,10,0.032295
-25.0,10,0.032615
-9.0,10,0.033214
-220.0,10,0.033538
-9.0,10,0.033877
-101.0,10,0.034193
-122.0,10,0.034768
-63.0,10,0.035103
-69.0,10,0.035466
-158.0,10,0.035783
-129.0,10,0.036335
-236.0,10,0.03666
-175.0,10,0.036997
-169.0,10,0.037317
-220.0,10,0.037898
22.0,10,0.038221
-126.0,10,0.038565
-154.0,10,0.038891
-54.0,10,0.039447
-281.0,10,0.039771
-271.0,10,0.040109
-121.0,10,0.040453
-28.0,10,0.046082
-52.0,10,0.047637
-124.0,10,0.049846
33.0,10,0.05157
-118.0,10,0.053953
-27.0,10,0.055574
-120.0,10,0.057576
-69.0,10,0.059187
-106.0,10,0.061633
-114.0,10,0.063074
-64.0,10,0.065118
-124.0,10,0.06673
-101.0,10,0.069126
-129.0,10,0.070599
-59.0,10,0.072613
-52.0,10,0.074221
-143.0,10,0.076646
-14.0,10,0.078108
-165.0,10,0.080069
-123.0,10,0.081533
19.0,10,0.083948
-107.0,10,0.085483
-126.0,10,0.08736
-145.0,10,0.088786
36.0,10,0.091108
-152.0,10,0.092478
26.0,10,0.094551
-226.0,10,0.096089
0.0,10,0.098362
-101.0,10,0.099837
-54.0,10,0.101805
-123.0,10,0.103319
-170.0,10,0.105754
-95.0,10,0.107333
