#{"t_start": 1784595265.922973, "env_id": "None"}
r,l,t
-24.0,10,0.004281
24.0,10,0.00755
-236.0,10,0.010573
-176.0,10,0.013586
16.0,10,0.016448
-99.0,10,0.01929
-149.0,10,0.02211
29.0,10,0.024943
-38.0,10,0.027754
-55.0,10,0.030498
-92.0,10,0.033248
-44.0,10,0.036033
-114.0,10,0.038795
-116.0,10,0.041557
-26.0,10,0.044346
-14.0,10,0.047111
-166.0,10,0.049865
-61.0,10,0.052624
-214.0,10,0.055398
-68.0,10,0.058177
-106.0,10,0.060952
-26.0,10,0.063716
67.0,10,0.066476
-78.0,10,0.069306
9.0,10,0.07207
-181.0,10,0.074863
-126.0,10,0.077629
-84.0,10,0.080408
-23.0,10,0.083182
-49.0,10,0.085933
-14.0,10,0.088739
-8.0,10,0.091468
34.0,10,0.094233
-21.0,10,0.096978
-30.0,10,0.099728
-89.0,10,0.102491
-2.0,10,0.105227
-90.0,10,0.107974
-102.0,10,0.110683
-60.0,10,0.113448
-157.0,10,0.116205
-140.0,10,0.118945
26.0,10,0.121752
48.0,10,0.124522
-20.0,10,0.12724
-82.0,10,0.129984
21.0,10,0.132805
-89.0,10,0.135566
-54.0,10,0.138312
-1.0,10,0.141058
-14.0,10,0.144792
-9.0,10,0.147649
-34.0,10,0.150429
-84.0,10,0.153172
14.0,10,0.155933
-67.0,10,0.158681
-19.0,10,0.161425
-64.0,10,0.164183
26.0,10,0.166928
21.0,10,0.16966
17.0,10,0.172451
-37.0,10,0.175216
68.0,10,0.177968
-98.0,10,0.180721
142.0,10,0.183487
-14.0,10,0.186219
-31.0,10,0.189011
-83.0,10,0.191759
-53.0,10,0.194529
-51.0,10,0.197258
-96.0,10,0.200018
-59.0,10,0.202809
-9.0,10,0.205529
5.0,10,0.208252
49.0,10,0.210995
-70.0,10,0.213734
-19.0,10,0.216473
68.0,10,0.219214
-41.0,10,0.222044
-7.0,10,0.22479
-31.0,10,0.227531
9.0,10,0.230261
-83.0,10,0.233017
56.0,10,0.235776
-107.0,10,0.238515
-94.0,10,0.241259
-87.0,10,0.244008
-176.0,10,0.246757
14.0,10,0.249508
-106.0,10,0.252243
-79.0,10,0.255083
-32.0,10,0.257839
-126.0,10,0.260603
-91.0,10,0.263319
-150.0,10,0.266092
26.0,10,0.268849
-68.0,10,0.271588
35.0,10,0.274356
-145.0,10,0.277089
3.0,10,0.279798
-74.0,10,0.283451
-53.0,10,0.286215
-89.0,10,0.288939
-103.0,10,0.291722
-59.0,10,0.294488
-133.0,10,0.29722
-7.0,10,0.299962
-56.0,10,0.302718
47.0,10,0.305446
6.0,10,0.308226
-54.0,10,0.310976
-11.0,10,0.313696
-7.0,10,0.316439
-154.0,10,0.319147
-80.0,10,0.32196
-21.0,10,0.32469
-38.0,10,0.327397
79.0,10,0.330113
-17.0,10,0.33285
-12.0,10,0.335606
-2.0,10,0.33837
-33.0,10,0.34108
-61.0,10,0.343761
-84.0,10,0.346487
-63.0,10,0.349242
-55.0,10,0.351939
-31.0,10,0.354693
-116.0,10,0.357437
-7.0,10,0.360197
-13.0,10,0.36292
-25.0,10,0.36565
-82.0,10,0.368401
-65.0,10,0.371136
-21.0,10,0.373876
-112.0,10,0.376605
-7.0,10,0.379321
29.0,10,0.382036
-63.0,10,0.384756
33.0,10,0.387524
1.0,10,0.390241
-49.0,10,0.392985
40.0,10,0.395705
-56.0,10,0.398434
-78.0,10,0.401205
-13.0,10,0.403923
21.0,10,0.406654
-38.0,10,0.409378
-36.0,10,0.412091
-2.0,10,0.414824
21.0,10,0.417561
8.0,10,0.42114
-17.0,10,0.423909
22.0,10,0.426647
-14.0,10,0.429406
45.0,10,0.432175
-31.0,10,0.434925
73.0,10,0.437656
4.0,10,0.440383
17.0,10,0.443144
-126.0,10,0.445898
-13.0,10,0.448646
-4.0,10,0.451385
23.0,10,0.454156
4.0,10,0.456901
61.0,10,0.459645
-82.0,10,0.462396
11.0,10,0.465155
-30.0,10,0.46793
66.0,10,0.470698
10.0,10,0.473448
-30.0,10,0.476196
23.0,10,0.478933
-21.0,10,0.481716
23.0,10,0.484462
-102.0,10,0.487271
77.0,10,0.490019
24.0,10,0.492744
-51.0,10,0.495479
-83.0,10,0.498204
58.0,10,0.500919
-60.0,10,0.503636
-2.0,10,0.506389
-7.0,10,0.509109
-1.0,10,0.511871
-9.0,10,0.514599
-56.0,10,0.517333
-2.0,10,0.520079
86.0,10,0.522844
-20.0,10,0.525557
68.0,10,0.528284
-31.0,10,0.530981
-24.0,10,0.533714
-119.0,10,0.536443
68.0,10,0.539139
-28.0,10,0.541889
46.0,10,0.544631
-44.0,10,0.547391
84.0,10,0.550119
-4.0,10,0.552859
-19.0,10,0.555603
107.0,10,0.559214
16.0,10,0.562034
-77.0,10,0.564766
-45.0,10,0.567483
-42.0,10,0.570208
-30.0,10,0.572982
-19.0,10,0.575758
12.0,10,0.578509
86.0,10,0.58127
-14.0,10,0.583989
-24.0,10,0.58675
74.0,10,0.589503
-55.0,10,0.592227
38.0,10,0.594976
40.0,10,0.597696
-60.0,10,0.600426
-84.0,10,0.603149
31.0,10,0.605867
119.0,10,0.608576
-12.0,10,0.611286
-66.0,10,0.614046
-105.0,10,0.616785
-13.0,10,0.619578
35.0,10,0.622339
10.0,10,0.625116
-71.0,10,0.627831
-2.0,10,0.630548
-104.0,10,0.63329
52.0,10,0.636035
51.0,10,0.638756
-18.0,10,0.641481
-61.0,10,0.64419
56.0,10,0.646911
61.0,10,0.649612
-32.0,10,0.652323
5.0,10,0.655126
72.0,10,0.657833
-9.0,10,0.66054
-68.0,10,0.66331
62.0,10,0.66604
11.0,10,0.66876
2.0,10,0.671481
-52.0,10,0.674227
2.0,10,0.676932
23.0,10,0.679639
68.0,10,0.682386
68.0,10,0.685109
17.0,10,0.687889
-25.0,10,0.690613
-12.0,10,0.693329
73.0,10,0.696873
98.0,10,0.699661
103.0,10,0.702547
127.0,10,0.7053
19.0,10,0.708049
8.0,10,0.710804
70.0,10,0.713552
66.0,10,0.716294
8.0,10,0.719065
38.0,10,0.721854
-85.0,10,0.724614
2.0,10,0.727365
55.0,10,0.730108
43.0,10,0.732812
-70.0,10,0.73557
73.0,10,0.738283
16.0,10,0.741019
-60.0,10,0.743785
32.0,10,0.746496
108.0,10,0.749235
28.0,10,0.75195
5.0,10,0.754697
-62.0,10,0.757413
-108.0,10,0.760161
18.0,10,0.762874
-60.0,10,0.765596
20.0,10,0.76834
54.0,10,0.771085
7.0,10,0.773848
77.0,10,0.77657
0.0,10,0.779258
-35.0,10,0.781997
-47.0,10,0.784721
50.0,10,0.787507
-15.0,10,0.790214
33.0,10,0.792958
-57.0,10,0.795693
54.0,10,0.798418
68.0,10,0.801161
56.0,10,0.803892
-2.0,10,0.806643
-42.0,10,0.809367
-2.0,10,0.812067
85.0,10,0.814808
-9.0,10,0.817494
-37.0,10,0.820244
-51.0,10,0.822966
-18.0,10,0.825653
-18.0,10,0.828359
-5.0,10,0.831107
43.0,10,0.834707
-30.0,10,0.837512
10.0,10,0.840253
-31.0,10,0.84301
15.0,10,0.845731
-1.0,10,0.848461
5.0,10,0.851195
-17.0,10,0.853998
76.0,10,0.856757
-72.0,10,0.859482
22.0,10,0.86219
25.0,10,0.864901
12.0,10,0.867646
16.0,10,0.870375
-37.0,10,0.873111
-48.0,10,0.875823
22.0,10,0.878549
31.0,10,0.881285
-84.0,10,0.884013
26.0,10,0.886746
147.0,10,0.889498
8.0,10,0.89224
-88.0,10,0.894943
49.0,10,0.897674
63.0,10,0.900412
-39.0,10,0.903155
-60.0,10,0.905886
40.0,10,0.908624
33.0,10,0.911338
-63.0,10,0.914087
103.0,10,0.916819
44.0,10,0.919559
73.0,10,0.92238
33.0,10,0.925132
33.0,10,0.927835
1.0,10,0.930535
44.0,10,0.933304
51.0,10,0.936051
0.0,10,0.93884
20.0,10,0.941639
-27.0,10,0.944359
12.0,10,0.947051
-27.0,10,0.949781
50.0,10,0.95249
-15.0,10,0.955252
77.0,10,0.95795
62.0,10,0.960659
6.0,10,0.963403
7.0,10,0.966111
40.0,10,0.968857
114.0,10,0.972358
-25.0,10,0.97511
-49.0,10,0.977877
4.0,10,0.980619
-21.0,10,0.983318
35.0,10,0.986058
-35.0,10,0.988836
63.0,10,0.991546
40.0,10,0.994284
-73.0,10,0.997001
51.0,10,0.999706
10.0,10,1.002459
62.0,10,1.005188
5.0,10,1.00792
61.0,10,1.010634
28.0,10,1.01335
-57.0,10,1.016046
40.0,10,1.01875
73.0,10,1.021545
-23.0,10,1.024281
45.0,10,1.027
-9.0,10,1.029689
8.0,10,1.032382
85.0,10,1.035065
80.0,10,1.037855
3.0,10,1.04057
3.0,10,1.043278
-10.0,10,1.045999
-20.0,10,1.048732
61.0,10,1.05146
-19.0,10,1.054271
-52.0,10,1.05699
26.0,10,1.059684
-38.0,10,1.062367
64.0,10,1.065156
12.0,10,1.067936
20.0,10,1.070671
28.0,10,1.073384
98.0,10,1.076135
104.0,10,1.078855
4.0,10,1.081597
-47.0,10,1.084339
43.0,10,1.087072
12.0,10,1.089808
-4.0,10,1.092544
-162.0,10,1.095236
77.0,10,1.097933
-83.0,10,1.100652
38.0,10,1.103364
135.0,10,1.106075
108.0,10,1.109649
72.0,10,1.112394
19.0,10,1.115184
73.0,10,1.117932
-34.0,10,1.120698
-69.0,10,1.123424
96.0,10,1.126153
37.0,10,1.128886
-68.0,10,1.131606
40.0,10,1.134384
-18.0,10,1.1371
38.0,10,1.139829
26.0,10,1.142549
26.0,10,1.145233
31.0,10,1.14795
91.0,10,1.150663
-77.0,10,1.153362
85.0,10,1.156071
5.0,10,1.158793
84.0,10,1.161506
27.0,10,1.164209
21.0,10,1.166916
26.0,10,1.169651
-9.0,10,1.172393
-79.0,10,1.175152
55.0,10,1.17789
13.0,10,1.180634
103.0,10,1.183384
-59.0,10,1.186109
-8.0,10,1.188883
11.0,10,1.191643
124.0,10,1.194381
48.0,10,1.197125
7.0,10,1.199862
66.0,10,1.202597
78.0,10,1.205337
76.0,10,1.208045
61.0,10,1.210767
27.0,10,1.213495
68.0,10,1.216207
45.0,10,1.218945
-3.0,10,1.22175
-51.0,10,1.224476
54.0,10,1.22719
41.0,10,1.229923
61.0,10,1.232637
74.0,10,1.235367
39.0,10,1.238097
112.0,10,1.240821
-31.0,10,1.24358
0.0,10,1.24721
52.0,10,1.249963
-13.0,10,1.252713
-5.0,10,1.255458
71.0,10,1.258151
27.0,10,1.260866
86.0,10,1.263588
-76.0,10,1.266283
7.0,10,1.268983
20.0,10,1.271715
56.0,10,1.274429
8.0,10,1.277147
0.0,10,1.279854
-25.0,10,1.282576
33.0,10,1.285328
-14.0,10,1.288069
-16.0,10,1.290774
28.0,10,1.293507
-62.0,10,1.296222
73.0,10,1.298952
26.0,10,1.301658
10.0,10,1.304355
49.0,10,1.307026
96.0,10,1.309736
12.0,10,1.312458
75.0,10,1.315154
-71.0,10,1.317852
103.0,10,1.320578
15.0,10,1.32329
-27.0,10,1.326007
12.0,10,1.328721
86.0,10,1.331465
73.0,10,1.334183
-88.0,10,1.336902
78.0,10,1.339629
-20.0,10,1.342372
45.0,10,1.345109
52.0,10,1.347846
85.0,10,1.350603
52.0,10,1.353329
3.0,10,1.35607
-32.0,10,1.358774
108.0,10,1.361492
-15.0,10,1.364202
43.0,10,1.36692
91.0,10,1.369637
57.0,10,1.372366
80.0,10,1.375081
27.0,10,1.377808
-23.0,10,1.380495
-16.0,10,1.384091
61.0,10,1.386885
5.0,10,1.389641
24.0,10,1.392379
-25.0,10,1.395135
-8.0,10,1.397869
22.0,10,1.400624
103.0,10,1.40334
39.0,10,1.406084
131.0,10,1.408837
84.0,10,1.411579
78.0,10,1.414296
-21.0,10,1.417005
23.0,10,1.419722
66.0,10,1.422491
63.0,10,1.425242
73.0,10,1.427963
-55.0,10,1.430688
22.0,10,1.433394
44.0,10,1.43614
-35.0,10,1.438878
79.0,10,1.441644
-28.0,10,1.444359
80.0,10,1.44712
66.0,10,1.449905
68.0,10,1.452642
-41.0,10,1.455468
