#{"t_start": 1784595279.774098, "env_id": "None"}
r,l,t
-114.0,10,0.004034
-72.0,10,0.00693
-116.0,10,0.009774
-54.0,10,0.012598
-52.0,10,0.015461
-81.0,10,0.018229
-54.0,10,0.020983
-51.0,10,0.023728
-79.0,10,0.026437
-51.0,10,0.029191
-61.0,10,0.03196
-151.0,10,0.034722
-166.0,10,0.037555
-43.0,10,0.040273
-72.0,10,0.043016
-94.0,10,0.045736
-86.0,10,0.048465
38.0,10,0.051229
-85.0,10,0.053994
-26.0,10,0.056744
107.0,10,0.059479
-30.0,10,0.062244
14.0,10,0.065312
-89.0,10,0.070051
-101.0,10,0.072774
12.0,10,0.075523
-2.0,10,0.078262
-99.0,10,0.081002
-130.0,10,0.083731
-75.0,10,0.08649
-78.0,10,0.08927
-45.0,10,0.091995
-74.0,10,0.094746
-110.0,10,0.097444
-59.0,10,0.100186
-66.0,10,0.102956
16.0,10,0.105684
-109.0,10,0.108417
-106.0,10,0.111129
-26.0,10,0.113884
-32.0,10,0.116647
-84.0,10,0.119346
-47.0,10,0.122078
72.0,10,0.124817
-115.0,10,0.127583
9.0,10,0.130371
3.0,10,0.133113
-31.0,10,0.135863
-75.0,10,0.138579
-59.0,10,0.141318
-126.0,10,0.144679
5.0,10,0.147501
-31.0,10,0.150321
16.0,10,0.153084
44.0,10,0.155799
-30.0,10,0.158587
-109.0,10,0.161313
49.0,10,0.164049
-107.0,10,0.166782
-68.0,10,0.169537
-34.0,10,0.172315
32.0,10,0.175036
-64.0,10,0.177771
7.0,10,0.180511
-59.0,10,0.183257
-89.0,10,0.185981
28.0,10,0.188713
-24.0,10,0.191467
44.0,10,0.194172
-49.0,10,0.196953
16.0,10,0.199678
-40.0,10,0.202457
-9.0,10,0.205237
-2.0,10,0.207971
-47.0,10,0.210703
-9.0,10,0.213448
-47.0,10,0.216198
-27.0,10,0.218918
6.0,10,0.22168
7.0,10,0.224431
-32.0,10,0.227153
-35.0,10,0.22991
-74.0,10,0.232676
-108.0,10,0.23543
-61.0,10,0.238192
9.0,10,0.240921
-69.0,10,0.243666
-2.0,10,0.246413
26.0,10,0.249181
-28.0,10,0.251923
-23.0,10,0.254674
51.0,10,0.257413
-169.0,10,0.260154
-11.0,10,0.262923
-24.0,10,0.265649
-30.0,10,0.268409
-115.0,10,0.271204
-112.0,10,0.273986
-35.0,10,0.276725
26.0,10,0.279463
-57.0,10,0.282943
22.0,10,0.285737
-25.0,10,0.288478
-72.0,10,0.291255
33.0,10,0.293984
-41.0,10,0.296733
-80.0,10,0.299468
-30.0,10,0.30221
-52.0,10,0.304929
-30.0,10,0.307634
149.0,10,0.310375
44.0,10,0.313096
10.0,10,0.315792
-27.0,10,0.318506
10.0,10,0.321211
-70.0,10,0.323955
16.0,10,0.326714
-94.0,10,0.329452
-60.0,10,0.332179
-63.0,10,0.334887
-59.0,10,0.337673
32.0,10,0.34041
-9.0,10,0.343127
-59.0,10,0.34585
-89.0,10,0.348589
0.0,10,0.351336
-55.0,10,0.354046
18.0,10,0.356762
-21.0,10,0.359486
-42.0,10,0.362196
68.0,10,0.364924
-117.0,10,0.367656
-100.0,10,0.370423
-32.0,10,0.373166
-3.0,10,0.375919
-64.0,10,0.378651
-62.0,10,0.38138
3.0,10,0.384097
38.0,10,0.386883
33.0,10,0.389589
84.0,10,0.392323
-139.0,10,0.395084
-42.0,10,0.397836
21.0,10,0.40058
-121.0,10,0.403369
-3.0,10,0.406111
2.0,10,0.408826
15.0,10,0.411571
119.0,10,0.414326
-5.0,10,0.417079
61.0,10,0.42074
-26.0,10,0.423546
40.0,10,0.426298
-69.0,10,0.429036
114.0,10,0.431772
24.0,10,0.4345
-58.0,10,0.437261
-29.0,10,0.440044
-62.0,10,0.442789
-26.0,10,0.445538
-84.0,10,0.448272
14.0,10,0.450964
154.0,10,0.453697
18.0,10,0.456431
-25.0,10,0.459166
-48.0,10,0.461911
-128.0,10,0.46468
-88.0,10,0.467408
-121.0,10,0.470173
109.0,10,0.472888
-32.0,10,0.4756
52.0,10,0.478335
-158.0,10,0.481084
-62.0,10,0.48388
124.0,10,0.486662
-100.0,10,0.489378
45.0,10,0.49213
-70.0,10,0.494843
-70.0,10,0.497562
37.0,10,0.500323
77.0,10,0.503086
-2.0,10,0.505818
18.0,10,0.508547
-42.0,10,0.51124
28.0,10,0.513953
-56.0,10,0.516702
44.0,10,0.519473
67.0,10,0.522225
-55.0,10,0.524969
28.0,10,0.527703
9.0,10,0.530435
-59.0,10,0.533153
5.0,10,0.535859
80.0,10,0.538573
21.0,10,0.541279
0.0,10,0.544056
45.0,10,0.546785
26.0,10,0.549524
-49.0,10,0.552252
26.0,10,0.554988
-21.0,10,0.558511
-72.0,10,0.561282
22.0,10,0.564029
-129.0,10,0.566741
-7.0,10,0.569515
-12.0,10,0.572279
-79.0,10,0.575004
-35.0,10,0.577727
77.0,10,0.580456
21.0,10,0.58321
15.0,10,0.585946
28.0,10,0.588718
98.0,10,0.591435
-4.0,10,0.594169
-10.0,10,0.596896
-25.0,10,0.599624
62.0,10,0.602381
56.0,10,0.605162
1.0,10,0.607903
36.0,10,0.610625
19.0,10,0.613406
-43.0,10,0.616153
-9.0,10,0.618891
-18.0,10,0.621641
49.0,10,0.624376
40.0,10,0.627113
7.0,10,0.629861
64.0,10,0.632618
31.0,10,0.635377
-17.0,10,0.638152
43.0,10,0.640889
142.0,10,0.643614
-25.0,10,0.646315
-124.0,10,0.649082
103.0,10,0.651806
35.0,10,0.65458
126.0,10,0.657315
177.0,10,0.66006
11.0,10,0.662816
-12.0,10,0.665559
-14.0,10,0.668268
10.0,10,0.671093
18.0,10,0.673792
-29.0,10,0.676518
21.0,10,0.679289
73.0,10,0.682028
8.0,10,0.684783
8.0,10,0.687487
-20.0,10,0.690221
11.0,10,0.692941
101.0,10,0.696357
33.0,10,0.699185
-105.0,10,0.701945
-5.0,10,0.704715
-14.0,10,0.707448
-4.0,10,0.710171
9.0,10,0.712901
33.0,10,0.715599
121.0,10,0.718342
62.0,10,0.721159
-36.0,10,0.723936
-49.0,10,0.726693
3.0,10,0.729446
86.0,10,0.732175
96.0,10,0.734926
-13.0,10,0.737754
-30.0,10,0.740501
18.0,10,0.743204
46.0,10,0.745977
-45.0,10,0.748725
33.0,10,0.751492
-8.0,10,0.754233
103.0,10,0.756966
14.0,10,0.75972
-44.0,10,0.762463
109.0,10,0.765182
78.0,10,0.767918
-50.0,10,0.770663
66.0,10,0.773402
56.0,10,0.776147
-19.0,10,0.778878
7.0,10,0.781577
68.0,10,0.784332
16.0,10,0.787058
-42.0,10,0.789815
3.0,10,0.792551
-37.0,10,0.79527
-19.0,10,0.798001
-108.0,10,0.800716
23.0,10,0.803513
35.0,10,0.80624
126.0,10,0.808947
61.0,10,0.811687
14.0,10,0.814444
38.0,10,0.817185
14.0,10,0.819915
72.0,10,0.822644
57.0,10,0.825348
3.0,10,0.828064
75.0,10,0.83081
35.0,10,0.834381
-6.0,10,0.837166
34.0,10,0.839924
26.0,10,0.842667
10.0,10,0.845397
-53.0,10,0.848177
-47.0,10,0.850988
-49.0,10,0.853739
68.0,10,0.856502
40.0,10,0.859283
58.0,10,0.862042
52.0,10,0.86476
-11.0,10,0.867493
8.0,10,0.870233
15.0,10,0.872966
38.0,10,0.87568
-42.0,10,0.878432
-103.0,10,0.881151
10.0,10,0.883904
45.0,10,0.886632
