#{"t_start": 1784595219.837539, "env_id": "None"}
r,l,t
-106.0,10,0.00408
-174.0,10,0.006974
-138.0,10,0.009799
-7.0,10,0.012591
-129.0,10,0.015394
-77.0,10,0.018159
-293.0,10,0.020938
-115.0,10,0.02368
-138.0,10,0.026433
-115.0,10,0.029194
-201.0,10,0.031946
-125.0,10,0.034685
-106.0,10,0.037413
-163.0,10,0.040216
-118.0,10,0.04297
-54.0,10,0.045715
74.0,10,0.048452
-165.0,10,0.051199
-61.0,10,0.053943
-116.0,10,0.056668
-14.0,10,0.059376
-16.0,10,0.062115
-181.0,10,0.064865
4.0,10,0.06764
-93.0,10,0.070357
-92.0,10,0.073154
-157.0,10,0.075897
-88.0,10,0.078621
-236.0,10,0.08136
-91.0,10,0.084094
-149.0,10,0.08685
-49.0,10,0.089581
-78.0,10,0.092304
-46.0,10,0.095078
-96.0,10,0.097819
-98.0,10,0.100598
-49.0,10,0.103314
-134.0,10,0.106117
-157.0,10,0.108872
-85.0,10,0.111624
-152.0,10,0.114368
-189.0,10,0.117132
-113.0,10,0.119883
-144.0,10,0.122612
-98.0,10,0.125337
-164.0,10,0.128062
-252.0,10,0.130788
-173.0,10,0.133585
-77.0,10,0.136326
-217.0,10,0.139098
-76.0,10,0.142739
-99.0,10,0.145494
-49.0,10,0.148247
-77.0,10,0.150995
-123.0,10,0.153751
-32.0,10,0.156504
-98.0,10,0.159234
-16.0,10,0.16194
-54.0,10,0.164663
-70.0,10,0.167393
-171.0,10,0.170139
6.0,10,0.172887
-196.0,10,0.175605
-133.0,10,0.178346
-49.0,10,0.181085
-144.0,10,0.183813
-25.0,10,0.18653
-129.0,10,0.189248
-46.0,10,0.191954
-72.0,10,0.194684
-116.0,10,0.197445
-2.0,10,0.200176
-26.0,10,0.202894
-61.0,10,0.205669
-107.0,10,0.208373
-154.0,10,0.211105
-112.0,10,0.213847
-123.0,10,0.216557
-88.0,10,0.219318
-54.0,10,0.222028
-61.0,10,0.224734
-111.0,10,0.227491
-79.0,10,0.230231
-67.0,10,0.232993
-96.0,10,0.235697
-126.0,10,0.238433
-89.0,10,0.241207
-118.0,10,0.243939
-85.0,10,0.246666
-228.0,10,0.249388
-74.0,10,0.252105
-199.0,10,0.254868
-135.0,10,0.257609
-135.0,10,0.260328
-117.0,10,0.263072
-128.0,10,0.265826
-219.0,10,0.268539
-95.0,10,0.27125
-211.0,10,0.274028
55.0,10,0.276764
-58.0,10,0.28031
-56.0,10,0.283148
-31.0,10,0.285907
-101.0,10,0.288645
-93.0,10,0.291367
-196.0,10,0.294069
-16.0,10,0.29678
-77.0,10,0.299557
-61.0,10,0.302288
-11.0,10,0.305033
44.0,10,0.307797
-108.0,10,0.310512
-156.0,10,0.313251
-15.0,10,0.315983
-194.0,10,0.318716
-133.0,10,0.321464
-166.0,10,0.324204
-75.0,10,0.326948
-49.0,10,0.329679
-127.0,10,0.3324
-31.0,10,0.33512
-100.0,10,0.33786
-51.0,10,0.340637
-56.0,10,0.343367
-104.0,10,0.346072
-109.0,10,0.348859
-174.0,10,0.351589
9.0,10,0.354326
-8.0,10,0.357071
-102.0,10,0.359806
-213.0,10,0.362542
-98.0,10,0.365267
-147.0,10,0.367998
-144.0,10,0.370722
-106.0,10,0.373487
9.0,10,0.376202
-116.0,10,0.378912
-157.0,10,0.381637
-84.0,10,0.384372
-144.0,10,0.387119
-131.0,10,0.389827
-75.0,10,0.392549
-72.0,10,0.3953
-92.0,10,0.398029
-137.0,10,0.400738
-121.0,10,0.403445
-84.0,10,0.40624
-106.0,10,0.408979
-125.0,10,0.411712
-144.0,10,0.414452
-79.0,10,0.418089
-142.0,10,0.420883
-59.0,10,0.423581
-28.0,10,0.426292
-17.0,10,0.429065
-26.0,10,0.431809
-79.0,10,0.43457
-98.0,10,0.437294
20.0,10,0.440053
149.0,10,0.442777
-133.0,10,0.445523
-14.0,10,0.448248
-196.0,10,0.450977
-106.0,10,0.453712
-78.0,10,0.456424
-13.0,10,0.459175
-104.0,10,0.461914
-67.0,10,0.464623
-47.0,10,0.467356
-119.0,10,0.470071
-59.0,10,0.472898
-104.0,10,0.475636
-80.0,10,0.478354
-84.0,10,0.481111
-66.0,10,0.483864
-79.0,10,0.486589
-16.0,10,0.489334
-168.0,10,0.492067
-144.0,10,0.494791
-80.0,10,0.497513
-30.0,10,0.500263
-141.0,10,0.502989
-110.0,10,0.505705
-67.0,10,0.508436
-60.0,10,0.511153
-101.0,10,0.513881
-26.0,10,0.516615
